,Language,Model,BeamSearch,Temperature,Category,Input String,Original,Generated,TextID,BERTScore F1,chrF++,Sentence BLEU,Corpus BLEU
0,RU,Phi4,4.0,,Food,“Запеченная Аляска” имеет course Десерт. Десерт имеет dishVariation Печенье. Соединённые Штаты Америки имеет ethnicGroup Афроамериканцы. “Запеченная Аляска” имеет country Соединённые Штаты Америки. ,"['“Запеченная Аляска” и печенье – десерты. ""Запеченная Аляска"" происходит из Соединённых Штатов Америки, в которых этническая группа - Афроамериканцы.', '""Запеченная Аляска"" и печенье - разновидность десерта и происходит из Соединённых Штатов Америки. Афроамериканцы - одна из этнических групп этой страны.']","""Запеченная Аляска"" - это десерт с вариацией печенья из Соединённых Штатов Америки, где Афроамериканцы.",Id1,0.8511615097522736,0.48653875291347504,0.5250613954376654,0.6084433094352859
1,RU,Phi4,4.0,,SportsTeam,Футбольный клуб “Акрон” (США) имеет fullName Akron Metro Futbol Club Summit Assault. Футбольный клуб “Акрон” (США) имеет numberOfMembers 3000. Футбольный клуб “Акрон” (США) имеет manager Дензил Антонио. Футбольный клуб “Акрон” (США) имеет season ПДЛ / Профессиональная лига развития. ,"['Насчитывающий 3000 членов сильный Футбольный клуб “Акрон” (США), полное наименование - Футбольный клуб «Акрон Саммит Ассолт» (США), играет в Профессиональной лиге развития в 2011 году. Дензил Антонио был ранее их менеджером.']","Футбольный клуб ""Акрон"" (США) имеет полное название Akron Metro Futbol Club Summit Assault. В клубе насчитывается 3000 членов. Тренером клуба является Дензил Антонио. Клуб участвует в Профессиональной лиге развития (ПДЛ).",Id2,0.7948474287986755,0.40796029567718506,0.5330499672213088,
2,RU,Phi4,4.0,,Food,бандеха паиса имеет ingredient Авокадо. бандеха паиса имеет country колумбийская кухня. бандеха паиса имеет region регион Пайса. ,"['Часть колумбийской, кухни бандеха паиса - это традиционное блюда региона Пайса. Одним из главных ингредиентов в этом блюде является авокадо.', 'Авокадо - один из ингредиентов в блюде бандеха паиса, которое является блюдом колумбийской кухни. Оно родом из региона Пайса.', 'Авокадо - один из ингредиентов в блюде бандеха паиса, который представляет собой типичную колумбийскую кухню из региона Паиса.']","Бандеха паиса - это блюдо из колумбийской кухни, приготовленное в регионе Пайса. Основным ингредиентом является авокадо.",Id3,0.85750945409139,0.4499622583389282,0.7688905910386853,
3,RU,Phi4,4.0,,ComicsCharacter,"Эйприл О’Нил имеет creator Лэрд, Питер. Лэрд, Питер имеет nationality Соединённые Штаты Америки. ","[""Эйприл О 'Нил был создан Питером Лэрдом, из Соединенных Штатов Америки."", ""Персонаж Эйприл О'Нил был создан Питером Лэрдом, гражданином Соединенных Штатов Америки."", ""Эйприл О 'Нил был создан американцем Питером Лэрдом.""]","Эйприл О’Нил создан Лэрдом, Питером, который является гражданином Соединённых Штатов Америки.",Id4,0.8605677882830302,0.5123563011487325,0.7283279928176455,
4,RU,Phi4,4.0,,University,"Румыния имеет ethnicGroup Немцы в Румынии. Румыния имеет leader Йоханнис, Клаус. Румыния имеет patronSaint Андрей Первозванный. Румыния имеет capital Бухарест. Университет «1 декабря 1918» имеет country Румыния. Румыния имеет anthem Гимн Румынии. ","['Университет «1 декабря 1918» находится в Румынии. Столица Румынии - Бухарест; ее лидером является Клаус Йоханнис и его покровитель - Андрей Первозванный. Этническая группа страны - румынские немцы, а гимн - ""Проснись, румын!"".', 'Университет «1 декабря 1918» находится в Румынии под руководством Клауса Йоханниса, столицей Румынии является Бухарест. Румынский гимн - ""Проснись, румын!"", ее покровитель - Андрей Первозванный и ее этническая группа - румынские немцы.', 'Университет «1 декабря 1918» находится в Румынии. Столица страны - Бухарест, а лидером является Клаус Йоханнис. Этнически страна в основном немецкая, ее покровитель - это Андрей Первозванный, а национальный гимн - ""Проснись, румын!"".']","Румыния имеет этническую группу немцев. Румыния имеет лидера Йоханниса, Клауса. Румыния имеет покровителя святого Андрея Первозванного. Румыния имеет столицу Бухарест. Университет ""1 декабря 1918"" находится в Румынии. Румыния имеет гимн ""Гимн Румынии"".",Id5,0.8147326509157816,0.40095579624176025,0.6048714107690133,
5,RU,Phi4,4.0,,CelestialBody,(103) Гера имеет absoluteMagnitude 7.66. ,"['(103) Гера имеет абсолютную величину 7,66.', 'Небесное тело, известное как (103) Гера, имеет абсолютную величину 7,66.', 'Абсолютная величина (103) Геры - 7,66.']",Гера имеет абсолютную величину 7.66.,Id6,0.851271371046702,0.4762050112088521,0.8757236877849066,
6,RU,Phi4,4.0,,Food,сендвич БиЭлТи / BLT / БСТ имеет ingredient Латук посевной. сендвич БиЭлТи / BLT / БСТ имеет dishVariation клаб-сэндвич / клубный сэндвич. сэндвич с беконом имеет dishVariation сендвич БиЭлТи / BLT / БСТ. ,"['Вариация клаб-сендвича, Сэндвич БиЭлТи, имеет латук посевной в качестве ингредиента. Вариацией сэндвича БиЭлТи является сендвич с беконом.', 'Латук посевной - ингредиент сендвича БиЭлТи, который является вариантом клубного сэндвича. В то время как сэндвич с беконом - это вариация сендвича БиЭлТи.']",Сендвич БиЭлТи / BLT / БСТ имеет ингредиент латук посевной. Сендвич БиЭлТи / BLT / БСТ имеет dishVariation клаб-сэндвич / клубный сэндвич. Сендвич с беконом имеет dishVariation сендвич БиЭлТи / BLТ / БСТ.,Id7,0.8079781234264374,0.3835114687681198,0.4586515663336008,
7,RU,Phi4,4.0,,CelestialBody,(10) Гигея имеет orbitalPeriod 5.57 (days). ,"['(10) Гигея имеет орбитальный период 5,57 дней.', '5,57 дней - это орбитальный период для (10) Гигеи.', '(10) Гигея выполняет полный оборот по орбите за 5,57 дней.']",Гигея имеет орбитальный период 5.57 дней.,Id8,0.8607213298479716,0.49198681116104126,0.8279812399219761,
8,RU,Phi4,4.0,,SportsTeam,ФК “Димитра Эфксейноуполи” имеет numberOfMembers 1500. ФК “Димитра Эфксейноуполи” имеет chairman Антонис Милионис. ФК “Димитра Эфксейноуполи” имеет ground Эфксейнуполи. ,"['ФК “Димитра Эфксейнуполи” насчитывает 1500 членов, возглавляет Антонис Милионис, и находится в городе Эфксейнуполи.', 'Антонис Милионис - председатель ФК “Димитра Эфксейнуполи”. Они состоят из 1500 членов, а их домашняя площадка расположена в городе Эфксейнуполи.', 'Площадка ФК “Димитра Эфксейнуполи” расположена в Эфксейнуполи, имеет 1500 членов, а ее председателем является Антонис Милионис.']","Футбольный клуб ""Димитра Эфксейноуполи"" имеет 1500 членов, председателем является Антонис Милионис, а домашним стадионом является Эфксейнуполи.",Id9,0.818378726641337,0.521763543287913,0.7148959547487364,
9,RU,Phi4,4.0,,Building,Дом Ашера и Мэри Изабель Ричардсон имеет added to the National Register of Historic Places 1988-11-22. ,['Дом Ашера и Мэри Изабель Ричардсон был добавлен в Национальный реестр исторических мест 22 ноября 1988 года.'],Дом Ашера и Мэри Изабель Ричардсон был добавлен в Национальный реестр исторических мест 22 ноября 1988 года.,Id10,1.0,1.0,1.0,
10,RU,Phi4,4.0,,Airport,Аэропорт Ардмор (Новая Зеландия) имеет runwayLength 518.0. ,"['Протяженность взлетно-посадочной полосы аэропорта Ардмор (Новая Зеландия) составляет 518,0.', 'Протяженность взлетно-посадочной полосы аэропорта Ардмор (Новая Зеландия) составляет 518,0 м.', 'Протяженность взлетно-посадочной полосы аэропорта ""Ардмор"" (Новая Зеландия) составляет 518,0.']",Аэропорт Ардмор в Новой Зеландии имеет длину взлетно-посадочной полосы 518.0 метров.,Id11,0.818195124467214,0.4079125026861827,0.5815211006590653,
11,RU,Phi4,4.0,,Airport,Схипхол имеет cityServed Амстердам. ,"['Схипхол обслуживает город Амстердам.', 'Аэропорт Схипхол обслуживает Амстердам.']",Схипхол обслуживает город Амстердам.,Id12,0.9514644145965576,0.8510176539421082,1.0,
12,RU,Phi4,4.0,,University,Керала имеет leader Коччи. Инженерный колледж «AWH» имеет state Керала. Керала имеет hasToItsNorthwest Маэ. ,"['Инженерный колледж ""AWH"" расположен в штате Керала. Лидером Кералы является Кочи. К северо-западу от Кералы находится Маэ, Индия.', 'Коччи - руководитель штата Керала, который находится к юго-востоку от Маэ, Индия, и это место расположения Инженерного колледжа ""AWH"".', 'Инженерный колледж ""AWH"" в штате Керала находится к юго-востоку от Маэ в Индии. Лидера Керала зовут Коччи.']",Керала имеет лидера Коччи. Инженерный колледж «AWH» находится в штате Керала. Керала имеет соседство с Маэ на севере-западе.,Id13,0.8227578600247701,0.3850005716085434,0.6596189802263029,
13,RU,Phi4,4.0,,CelestialBody,1097 Виция имеет orbitalPeriod 135589000.0. 1097 Виция имеет epoch 2006-12-31. ,"['Орбитальный период 1097 Виции - 135589000,0 и эпоха - 31 декабря 2006 года.', 'Эпоха 1097 Виции, имеющей орбитальный период 135589000,0, - 13 января 2016 года.', 'Орбитальный период 1097 Виции - 135589000,0 и его эпоха - 2006.12.31.']",1097 Виция имеет орбитальный период 135589000.0 секунд и эпоху 2006-12-31.,Id14,0.8017341693242391,0.4445302486419678,0.6882160430017215,
14,RU,Phi4,4.0,,Food,сэндвич с беконом имеет dishVariation сендвич БиЭлТи / BLT / БСТ. сэндвич с беконом имеет ingredient Хлеб. ,"['Сэндвич с беконом может быть преобразован в Сэндвич БиЭлТи, который имеет широко распространённый ингредиент, известный как хлеб.', 'Один из ингредиентов сэндвича с беконом - хлеб, а одна из разновидностей - сендвич БиЭлТи.', 'Сэндвич с беконом, сделанный из хлеба, - это вариация сендвича БиЭлТи.']",Сэндвич с беконом имеет dishVariation сендвич БиЭлТи / BLT / БСТ. Сэндвич с беконом имеет ингредиент Хлеб.,Id15,0.7843745549519857,0.33867691953976947,0.5419131096206231,
15,RU,Phi4,4.0,,Food,"бхаджи имеет country Индия. Индия имеет leader Т.С. Тхакур. Индия имеет leader Моди, Нарендра. бхаджи имеет region Карнатака. ","['Бхаджи находится в районе Карнатаки; он происходит из Индии. Т.С. Тхакур является лидером Индии, и Нарендра Моди также лидером.', 'Бхаджи происходит из региона Карнатака в Индии. Два лидера Индии - Т. С. Тхакур и Нарендра Моди.', 'Бхаджи родом из района Карнатака, Т.С. Тхакур - лидер Индии, а Нарендра Моди - также одно из имен одного из лидеров в Индии.']","Бхаджи находится в Индии. Индия имеет лидеров Т.С. Тхакур и Моди, Нарендра. Бхаджи находится в регионе Карнатака.",Id16,0.8250110149383545,0.45003395279248554,0.7163461305556618,
16,RU,Phi4,4.0,,Food,суп Бинигнит имеет ingredient Батат. суп Бинигнит имеет region Висайские острова. суп Бинигнит имеет mainIngredient Кокосовое молоко. суп Бинигнит имеет country Филиппины. ,"['Суп Бинигнит родом с Висайских островов, из региона Филиппин. Его основные ингредиенты - батат и кокосовое молоко.', 'Батат и кокосовое молоко – ингредиенты в супе Бинигнит, который родом с Висайских островов на Филиппинах.', 'Суп Бинигнит, который состоит из батата и кокосового молока, – блюдо из района Висайских островов Филиппин.']","Суп Бинигнит имеет ингредиент Батат, происходит из Висайских островов, основным ингредиентом является кокосовое молоко, и он из Филиппин.",Id17,0.8340867360432943,0.5013758639494578,0.6499715698109456,
17,RU,Phi4,4.0,,ComicsCharacter,Карл Кесель имеет nationality Американцы США. ,"['Гражданство Карла Кеселя - американское.', 'Карл Кесель - американец.']",Карл Кесель — американец.,Id18,0.8678195774555206,0.5151642709970474,0.8895260356363631,
