,Language,Model,BeamSearch,Temperature,Category,Input String,Original,Generated,TextID,BERTScore F1,chrF++,Sentence BLEU,Corpus BLEU
0,EN,Llama3,4,,SportsTeam,Estádio Municipal Coaracy da Mata Fonseca has location Arapiraca. Agremiação Sportiva Arapiraquense has league Campeonato Brasileiro Série C. Campeonato Brasileiro Série C has country Brazil. Agremiação Sportiva Arapiraquense has nickname Alvinegro. Agremiação Sportiva Arapiraquense has ground Estádio Municipal Coaracy da Mata Fonseca. ,"['Estádio Municipal Coaracy da Mata Fonseca is the name of the ground of Agremiação Sportiva Arapiraquense in Arapiraca. Agremiação Sportiva Arapiraquense, nicknamed ""Alvinegro"", lay in the Campeonato Brasileiro Série C league from Brazil.', 'Estádio Municipal Coaracy da Mata Fonseca is the name of the ground of Agremiação Sportiva Arapiraquense in Arapiraca. Alvinegro, the nickname of Agremiação Sportiva Arapiraquense, play in the Campeonato Brasileiro Série C league from Brazil.']",Arapiraca is the location of Estádio Municipal Coaracy da Mata Fonseca. Agremiação Sportiva Arapiraquense plays in Campeonato Brasileiro Série C. Campeonato Brasileiro Série C is a league in Brazil. Agremiação Sportiva Arapiraquense is known as Alvinegro. Agremiação Sportiva Arapiraquense plays at Estádio Municipal Coaracy da Mata Fonseca.,Id1,0.8034990131855011,0.6378227174282074,0.5797245499371516,0.7113744143873615
1,EN,Llama3,4,,Astronaut,Nie Haisheng has birthDate 1964-10-13. Nie Haisheng has occupation Fighter pilot. ,"['Nie Haisheng, born on October 13, 1964, worked as a fighter pilot.', 'Nie Haisheng is a former fighter pilot who was born on October 13, 1964.', 'Nie Haisheng born on 10/13/1964 is a fighter pilot.']","Chinese astronaut Nie Haisheng was born on October 13, 1964. He is a fighter pilot.",Id2,0.798888365427653,0.6786030729611715,0.736979357713347,
2,EN,Llama3,4,,Airport,MotorSport Vision has city Fawkham. ,"['MotorSport Vision is located in the city of Fawkham.', 'MotorSport Vision is located in the city of Fawkham, UK.', 'MotorSport Vision is located in Fawkham.']","Fawkham is a village in Kent, England.",Id3,0.5595475633939108,0.19777195155620575,0.31367029036164745,
3,EN,Llama3,4,,Athlete,Aleksandr Prudnikov has height 185.0 (centimetres). FC Spartak Moscow has ground Otkrytiye Arena. Aleksandr Prudnikov has club FC Spartak Moscow. ,"['185 centimetre tall Aleksandr Prudnikov played for the Otkrytiye Arena based FC Spartak, Moscow.', 'The 185 cm tall Aleksandr Prudnikov plays for FC Spartak Moscow who call their home ground Otkrytiye Arena.', 'Aleksandr Prudnikov who is 185 cm tall, plays for FC Spartak Moscow whose ground is the Otkrytiye Arena.']",Aleksandr Prudnikov is 185 centimetres tall. FC Spartak Moscow plays at Otkrytiye Arena. Aleksandr Prudnikov plays for FC Spartak Moscow.,Id4,0.8219319581985474,0.593501885732015,0.6573326878220989,
4,EN,Llama3,4,,City,Ciudad Ayala has populationMetro 1777539. Ciudad Ayala has leaderTitle City Manager. Ciudad Ayala has type City. Ciudad Ayala has populationDensity 1604.0. Ciudad Ayala has governmentType Council-manager government. ,"['Ciudad Ayala is a city with population density and population of 1604 and 1777539 respectively, where the leader is called the City Manager. The government type in the city of Ciudad Ayala is council-manager.', 'The city of Ciudad Ayala, with a population of 1,777,539, is led by a City Manager on a council-manager government system. It has a population density of 1604.', 'Ciudad Ayala, a city with population density and population of 1604.0 and 1,777,539 respectively, uses a type of government called council-manager government. One of the leaders of Ciudad Ayala is the City Manager.']","Ciudad Ayala, a city with a population of 1,777,539, is led by a city manager and has a population density of 1,604 people per square kilometer. It operates under a council-manager government.",Id5,0.7435069481531779,0.5439613660176595,0.7309306229170262,
5,EN,Llama3,4,,MusicalWork,Bootleg Series Volume 1: The Quine Tapes has precededBy Squeeze (The Velvet Underground album). Squeeze (The Velvet Underground album) has followedBy 1969: The Velvet Underground Live. ,"['The album 1969: The Velvet Underground Live is preceded by the Velvet Underground album Squeeze, which was followed by The Quine Tapes.', 'The Velvet Underground album Bootleg Series Volume 1: The Quine Tapes was preceded by the album Squeeze, which was followed by the live album 1969: The Velvet Underground Live.', 'The Bootleg Series Volume I: The Quine Tapes is preceded by the Velvet Underground album Squeeze which was itself followed by the album 1969: The Velvet Underground Live.']",The Bootleg Series Volume 1: The Quine Tapes album preceded the Squeeze album. The Squeeze album was followed by the 1969: The Velvet Underground Live album.,Id6,0.8187363346417745,0.6278666456540426,0.7893510118481233,
6,EN,Llama3,4,,City,Ciudad Ayala has populationDensity 1604.0. Ciudad Ayala has leaderTitle Governator. Ciudad Ayala has country Mexico. Ciudad Ayala has elevationAboveTheSeaLevel 1147.0. Ciudad Ayala has timeZone Pacific Daylight Time. ,"['Ciudad Ayala in Mexico with population density of 1604.0 and elevated 1147.0 above sea level is in the PDT time zone. The leader here is called the governator.', 'Ciudad Ayala is a country in Mexico that is located 1147 above sea level and is in the Pacific Daylight time zone. The population density is 1604 and the leader of Ciudad Ayala is called the governator.', 'Ciudad Ayala is located in Mexico and has a population density of 1604. The city stands 1147 m above sea level. The Governator is the leader of Ciudad Ayala located in the Pacific Daylight time zone.']",Ciudad Ayala has a population density of 1604.0 people per square kilometer. Ciudad Ayala is governed by the Governator. Ciudad Ayala is located in Mexico. Ciudad Ayala has an elevation of 1147.0 meters above sea level. Ciudad Ayala is in the Pacific Daylight Time zone.,Id7,0.7574037710825602,0.5744048158327738,0.6569520675282702,
7,EN,Llama3,4,,Scientist,Olga Bondareva has deathDate 1991-12-09. ,"['Olga Bondareva died on December 9, 1991.', 'Olga Bondareva died on the 9th of December, 1991.', ""The date of Olga Bondareva's death was the ninth of December 1991.""]","Olga Bondareva died on December 9, 1991.",Id8,0.8656999270121256,0.6762119829654694,1.0,
8,EN,Llama3,4,,Scientist,Saint Petersburg has foundingDate 1703-05-27. Olga Bondareva has deathPlace Saint Petersburg. Saint Petersburg has areaTotal 1439.0. ,"['Saint Petersburg was founded on May 27, 1703 and has a total area of 1439.0, Olga Bondareva passed away at Saint Petersburg.', 'Saint Petersburg, where Olga Bondareva died, was founded on the 27th of May, 1703 and has a total area of approximately 1439 km2.', 'Saint Petersburg, where Olga Bondareva died, was founded on May 27, 1703 and consists of a total area of 1439.0 sq/km.']","The city of Saint Petersburg was founded on May 27, 1703. Olga Bondareva died in Saint Petersburg. The total area of Saint Petersburg is 1439 square kilometers.",Id9,0.7674799760182699,0.5735435684521993,0.6733095760847324,
9,EN,Llama3,4,,City,Ciudad Ayala has populationDensity 1604.0. ,"['The population density of Ciudad Ayala is 1604.0.', 'Ciudad Ayala city has a population density of 1604.0.', 'The population density in Ciudad Ayala is 1604.']","Ciudad Ayala has a population density of 1,604 people per square kilometer.",Id10,0.6858555475870768,0.5940101941426595,0.5815873885538639,
