,index,Unnamed: 0,Language,Model,BeamSearch,Temperature,Category,Input String,Original,Generated,TextID,BERTScore F1,chrF++,Sentence BLEU,Corpus BLEU
0,883,883,EN,Phi4,4.0,,City,Ciudad Ayala has populationDensity 1604.0. Ciudad Ayala has leaderTitle Governator. Ciudad Ayala has elevationAboveTheSeaLevel 1147.0. Ciudad Ayala has timeZone Pacific Daylight Time. Ciudad Ayala has timeZone Pacific Standard Time Zone. ,"['In the Pacific Daylight/Standard Time Zone, the city of Ciudad Ayala has a leader known as the Governator. Its population density is 1604 and it stands 1147 metres above sea level.', 'Elevated 1147 metres above sea level and with a population density of 1604, the city of Ciudad Ayala is in the Pacific Standard Time Zone or PDT. Its leader is known as the governator.', 'With a population density of 1604, the city of Ciudad Ayala is situated 1147 metres above sea level. It is in the Pacific Daylight/Pacific Standard time zone and is led by a governator.']",Ciudad Ayala has a population density of 1604.0. The leader of Ciudad Ayala holds the title of Governator. The elevation of Ciudad Ayala above sea level is 1147.0 meters. Ciudad Ayala is in the Pacific Daylight Time zone and also in the Pacific Standard Time zone.,Id884,0.7568343281745911,0.5521389245986938,0.6290403170577125,
1,1516,1516,EN,Phi4,4.0,,Artist,Liselotte Grschebina has birthDate 1908-05-02. Liselotte Grschebina has nationality Israel. Liselotte Grschebina has training School of Applied Arts in Stuttgart. ,"['Liselotte Grschebina, an Israeli national born on May 2nd, 1908, studied at the School of Applied Arts in Stuttgart.', 'Liselotte Grschebina was born on May 2nd, 1908 and attended the school of Applied Arts in Stuttgart. She is of Israeli nationality.', 'Liselotte Grschebina, whose nationality was Israeli, was born on May 2nd, 1908. Grschebina attended the school of Applied Arts in Stuttgart.']","Liselotte Grschebina was born on May 2, 1908, and she holds Israeli nationality. She received her training at the School of Applied Arts in Stuttgart.",Id1517,0.8640676339467367,0.6922805905342102,0.7964558701052251,
2,124,124,EN,Phi4,4.0,,Scientist,Olga Bondareva has birthDate 1937-04-27. Olga Bondareva has almaMater Leningrad State University. Olga Bondareva has deathDate 1991-12-09. ,"['Olga Bondareva, who lived from April 27th, 1937 to December 9th, 1991, was a student at Leningrad State University.', 'Olga Bondareva (born on April 27, 1937) graduated from Leningrad State University, and died on the ninth of December 1991.', 'Olga Bondareva, an alumnus of Leningrad State University, was born April 27, 1937 and died December 9, 1991.']","Olga Bondareva was born on April 27, 1937, and attended Leningrad State University. She passed away on December 9, 1991.",Id125,0.7977399627367655,0.5961840351422628,0.794252707790904,
3,1579,1579,EN,Phi4,4.0,,MeanOfTransportation,Pontiac has product Automobile. ,"['The Pontiac company manufactures automobiles.', 'Pontiac makes automobiles.', 'Pontiac produces automobiles.']",Pontiac manufactures automobiles.,Id1580,0.927508811155955,0.6713613867759705,1.0,
4,1555,1555,EN,Phi4,4.0,,MusicalWork,Nord (Year of No Light album) has releaseDate 2006-09-06. Nord (Year of No Light album) has followedBy Live at Roadburn 2008 (Year of No Light album). Nord (Year of No Light album) has genre Sludge metal. Nord (Year of No Light album) has producer Year of No Light. Nord (Year of No Light album) has artist Year of No Light. Nord (Year of No Light album) has recordLabel Crucial Blast. ,"[""The Year of No Light's sludge metal album called Nord was released on Sept 6. 2006 followed by the album Live at Roadburn 2008. The Nord album was produced and released by Year of No Light under the Crucial Blast music label."", 'Year of No Light, a sludge metal band, produced and released their album Nord on June 9th 2006 with support from their label Crucial blast. This album preceded their next album Live at Roadburn that was released in 2008.', 'The album Nord was released on September 6, 2006, produced by Year of No Light, and is an album by Year of No Light.. Live at Roadburn 2008 was preceded by the album Nord, is in the sludge metal genre, and their record label is Crucial Blast.']","Nord (Year of No Light album) was released on September 6, 2006. It was followed by Live at Roadburn in 2008. The album belongs to the Sludge metal genre and was produced by Year of No Light. The artist is also named Year of No Light, and the record label is Crucial Blast.",Id1556,0.7488802870114645,0.5654302537441254,0.8001815509122636,
5,429,429,EN,Phi4,4.0,,MusicalWork,Nord (Year of No Light album) has recordLabel E-Vinyl. ,"[""The Year of No Light album Nord's record label is E-Vinyl."", 'The record label of Nord, the Year of No Light album, is E-Vinyl.', 'The Year of No Light album, Nord, was released on the E-Vinyl record label.']",Nord (Year of No Light) has recordLabel E-Vinyl.,Id430,0.703069786230723,0.4550280670324961,0.6334803261989463,
6,577,577,EN,Phi4,4.0,,Artist,Liselotte Grschebina has birthPlace German Empire. German Empire has currency German Papiermark. Liselotte Grschebina has birthPlace Karlsruhe. Karlsruhe has elevationAboveTheSeaLevel 115.0. ,"['Liselotte Grschebina was born 115 meters above sea-level, in Karlsruhe, in the German Empire, where the currency is the German Papiermark.', 'Liselotte Grschebina was born within the German Empire in Karlsruhe, which is 115 metres above sea level. The German Papiermark was used in the German Empire as a currency.', 'Liselotte Grschebina was born in Karlsruhe which is in the German Empire and is 115 meters above sea level. In the German Empire people used the German Papiermark to buy things.']","Liselotte Grschebina was born in the German Empire, where the currency was the German Papiermark. She was born in Karlsruhe, which has an elevation of 115.0 meters above sea level.",Id578,0.8198037346204122,0.6754470268885294,0.8268476073673613,
7,1180,1180,EN,Phi4,4.0,,Film,Its Great to Be Young (1956 film) has runtime 94.0. ,"[""The duration of the film 'It's great to be young', from 1956, is 94 minutes."", ""The running time of the movie It's Great to be Young is 94 minutes."", 'The length of 1956\'s film ""It\'s Great to Be Young"" is 94 minutes.']",Its Great to Be Young (1956 film) has a runtime of 94.0 minutes.,Id1181,0.6549656589825948,0.362017164627711,0.6830941960229344,
8,371,371,EN,Phi4,4.0,,Company,Manila has isPartOf Metro Manila. ,"['Manila is part of Metro Manila.', 'Metro Manila includes the city of Manila.']",Manila is part of Metro Manila.,Id372,0.8732863962650299,0.7410701215267181,1.0,
9,424,424,EN,Phi4,4.0,,Artist,German Empire has currency South German gulden. ,"[""The German Empire's currency is the South German gulden."", 'The currency of the German Empire is South German gulden.', 'In the German Empire one of the units of currency was the South German Gulden.']",The German Empire used the South German gulden as its currency.,Id425,0.7985585729281107,0.6392495234807333,0.8514944167201192,
10,3078,3078,EN,Phi4,,0.8,Monument,"Adams County, Pennsylvania has hasToItsWest Franklin County, Pennsylvania. 11th Mississippi Infantry Monument has established 2000. 11th Mississippi Infantry Monument has location Adams County, Pennsylvania. 11th Mississippi Infantry Monument has category Contributing property. Adams County, Pennsylvania has hasToItsNorth Cumberland County, Pennsylvania. ","[""Pennsylvania's Franklin County is found to the west of Adams County, Pennsylvania and Cumberland County, Pennsylvania is found to the north. The 11th Mississippi Infantry Monument, erected in 2000 in Adams County, is categorised as a contributing property."", 'The 11th Mississippi Infantry Monument, established in the year 2000, falls under the category of contributing property and is located in Adams County Pennsylvania which is East of Franklin County, Pennsylvania. Adams County also has Cumberland County, Pennsylvania to its north.', 'The location of the 11th Mississippi Infantry Monument, built in 2000, is Adams County, Pennsylvania which has Franklin County, Pennsylvania to the west and Cumberland County, Pennsylvania to the north. This monument is classified as a Contributing Property.']","Adams County, Pennsylvania is located to the west of Franklin County, Pennsylvania. The 11th Mississippi Infantry Monument, established in 2000, is located in Adams County, Pennsylvania and is categorized as a contributing property. Adams County, Pennsylvania is also located to the north of Cumberland County, Pennsylvania.",Id1300,0.7981887261072794,0.7105595072110494,0.8100946990342309,
