,index,Unnamed: 0,Language,Model,BeamSearch,Temperature,Category,Input String,Original,Generated,TextID,BERTScore F1,chrF++,Sentence BLEU,Corpus BLEU
0,1069,1069,RU,Llama3,4.0,,University,Румыния имеет patronSaint Андрей Первозванный. Университет «1 декабря 1918» имеет latinName Universitas Apulensis. Университет «1 декабря 1918» имеет country Румыния. ,"['Университет «1 декабря 1918» находится в Румынии. Его латинское название - «Universitas Apulensis». Покровителем Румынии является Андрей Первозванный.', 'Universitas Apulensis - латинское название Университета «1 декабря 1918» в Румынии. Покровителем страны является Андрей Первозванный.', 'Университет «1 декабря 1918» имеет латинское название ""Universitas Apulensis"". Он находится в Румынии, у которой есть покровитель святой Андрей Первозванный.']",Святой покровителем Румынии является Андрей Первозванный. Университет «1 декабря 1918» носит латинское название «Universitas Apulensis». Университет «1 декабря 1918» находится в Румынии.,Id1070,0.8699711561203003,0.7195335427920023,0.8025634920056633,
1,168,168,RU,Llama3,4.0,,ComicsCharacter,Бананамен имеет broadcastedBy Би-би-си. Бананамен имеет starring Грэм Гарден. ,"['«Бананамен», телесериал в котором играл Грэм Гарден, был показан на Би-би-си.', 'Грэм Гарден снялся в телесериале «Бананамен», который был показан на Би-би-си.', 'Бананамен, в котором снялся Грэм Гарден, транслировался Би-би-си.']","Сериал ""Бананамен"" транслируется на Би-би-си.",Id169,0.7846574187278748,0.3075224459171295,0.4749116106145518,
2,141,141,RU,Llama3,4.0,,Food,Баксо имеет ingredient Вермишель. ,"['Вермишель - это ингредиент в Баксо.', 'Вермишель - это ингредиент блюда Баксо.', 'Вермишель включена в Баксо.']",Вермишель.,Id142,0.7724873026212057,0.2654971530040105,0.1650731983605582,
3,388,388,RU,Llama3,4.0,,Building,3Arena имеет location Дублин. 3Arena имеет architect Populous (компания). ,"['3Arena, созданная архитектором компании Populous, расположена в Дублине.', 'Амфитеатр 3Arena, спроектированный компанией Populous, расположен в Дублине.', 'Амфитеатр 3Arena расположен в Дублине и был построен компанией Populous.']",3Arena расположен в Дублине. 3Arena спроектирован Populous (компания).,Id389,0.8265305558840433,0.5144099593162537,0.7590237210541214,
4,812,812,RU,Llama3,4.0,,Food,Нью-Йорк (штат) имеет language Испанский язык. ,"['Испанский язык является одним из языков, на которых говорят в Нью-Йорке.', 'Один из языков Нью-Йорка - испанский.']",Нью-Йорк (штат) имеет язык испанский.,Id813,0.7615853548049927,0.3258404582738876,0.6416802397528405,
5,804,804,RU,Llama3,4.0,,Airport,Аэропорт округа Эндрюс имеет location Техас. Техас имеет capital Остин (Техас). Техас имеет demonym техасец. Техас имеет country Соединённые Штаты Америки. ,"['Аэропорт округа Эндрюс находится в Техасе, США. Столица штата - Остин, а местных жителей называют техасцами.', 'Техасцы - название жителей штата Техас в США. Столица штата - Остин, и его обслуживает Аэропорт округа Эндрюс.']",Аэропорт округа Эндрюс расположен в Техасе. Техас является столицей Остин. Техасец - житель Техаса. Техас находится в Соединённых Штатах Америки.,Id805,0.8324466943740845,0.3972261846065521,0.4926035575972515,
6,118,118,RU,Llama3,4.0,,University,Индия имеет largestCity Мумбаи. Инженерный колледж «AWH» имеет country Индия. Инженерный колледж «AWH» имеет established 2001 год. Инженерный колледж «AWH» имеет academicStaffSize 250. Инженерный колледж «AWH» имеет city Kuttikkattoor. ,"['Инженерный колледж «AWH» в Куттиккаттооре, Индия, был создан в 2001 году и насчитывает 250 сотрудников. Крупнейший город страны - Мумбаи.', 'Инженерный колледж «AWH», созданный в 2001 году в Куттиккаттооре, Индия, насчитывает 250 научных сотрудников. Мумбаи - крупнейший город Индии.', 'Индия со своим самым большим городом Мумбаи также является родиной Инженерного колледжа «AWH». Колледж находится в городе Куттиккаттоор и был основан в 2001 году. В настоящее время он насчитывает 250 сотрудников.']","Мумбаи. 
Индия. 
2001 год. 
250. 
Куттикаттур.",Id119,0.6834673881530762,0.1492508575320243,0.0764401423167779,
7,1060,1060,RU,Llama3,4.0,,SportsTeam,ФК “Аякс (любители)” имеет ground Спортпарк Де Тоекомст. Спортпарк Де Тоекомст имеет tenant Йонг Аякс. ,"['Домашний стадион ФК ""Аякс (любители)"" - “Спортпарк Де Тоекомст”, которым владеет Йонг Аякс.', 'Йонг Аякс является арендатором Спортпарка Де Тоекомст, который является площадкой для ФК ""Аякс"" (любители).', 'Йонг Аякс - арендатор Спортпарка Де Тоекомст, который является площадкой ФК ""Аякс (любители)"".']",Стадион Спортпарк Де Тоекомст.,Id1061,0.73970494667689,0.2109891523917516,0.1190643356683147,
8,944,944,RU,Llama3,4.0,,Astronaut,"Шепард, Алан имеет deathPlace Калифорния. ",['Алан Шепард умер в Калифорнии.'],Калифорния.,Id945,0.7769226431846619,0.2636799812316894,0.1434691448691692,
9,677,677,RU,Llama3,4.0,,CelestialBody,11264 Клаудиомакконе имеет epoch 2005-11-26. 11264 Клаудиомакконе имеет orbitalPeriod 1513.722 (days). 11264 Клаудиомакконе имеет periapsis 296521000.0 (kilometres). 11264 Клаудиомакконе имеет apoapsis 475426000.0 (kilometres). 11264 Клаудиомакконе имеет temperature 173.0 (kelvins). ,"['11264 Клаудиомакконе имеет эпоху 26 ноября 2005 года, орбитальный период 1513,722 дня, перицентр 296521000,0 километров, апоцентр 475426000,0 километров, а также температура 173,0 кельвинов.', '11264 Клаудиомакконе имеет эпоху 26 ноября 2005 года, ее температура составляет 173,0 кельвинов и имеет орбитальный период 1513,722 дня. У него есть перицентр 296521000,0 километров, а его апоцентр - 475426000 километров.', '11264 Клаудиомакконе имеет эпоху 26 ноября 2005 года, орбитальный период 1513,722 дня, периапсиду 296521000,0 километров, апоапсиду 475426000,0 километров, а также температуру 173,0 кельвина.']","Астероид Клаудиомакконе имеет эпоху 26 ноября 2005 года.  Астероид Клаудиомакконе имеет орбитальный период 1513,722 дня.  Астероид Клаудиомакконе имеет перигелий 296521000 километров.  Астероид Клаудиомакконе имеет афелий 475426000 километров.  Астероид Клаудиомакконе имеет температуру 173 кельвина.",Id678,0.8284168442090353,0.561813473701477,0.5450052325584535,
