,index,Unnamed: 0,Language,Model,BeamSearch,Temperature,Category,Input String,Original,Generated,TextID,BERTScore F1,chrF++,Sentence BLEU,Corpus BLEU
0,1914,1914,EN,Gemma,4.0,,Film,Death on a Factory Farm has director Tom Simon. Death on a Factory Farm has producer Tom Simon. Death on a Factory Farm has broadcastedBy HBO. Death on a Factory Farm has musicComposer Jamie Lawrence. ,"['Death on a Factory Farm is a HBO film produced and directed by Tom Simon. Jamie Lawrence wrote the music.', 'HBO broadcasted film, Death on a Factory Farm, was directed and produced by Tom Simon. Jamie Lawrence composed the music.', ""Tom Simon is the director and producer of the film 'Death on a Factory Farm', which broadcast on HBO and featured Jamie Lawrence as the music composer.""]","Tom Simon, director. Tom Simon, producer. Broadcasted by HBO. Jamie Lawrence, music composer.",Id136,0.5954336524009705,0.3961877922217051,0.6710149084636573,
1,2316,2316,EN,Gemma,4.0,,Film,McVeagh of the South Seas has producer The Progressive Motion Picture Company. ,"['The film McVeagh of the South Seas was produced by the Progressive Motion Picture Company.', 'The producer of McVeagh of the South Seas is the Progressive Motion Picture Company.', 'McVeagh of the South Seas is produced by the Progressive Motion Picture Company.']",McVeagh of the South Seas produced The Progressive Motion Picture Company.,Id538,0.8108514547348022,0.7969559033711752,0.9026998491190212,
2,3189,3189,EN,Gemma,4.0,,Film,Super Capers has distributor Lionsgate. Lionsgate has keyPerson Jon Feltheimer. Lionsgate has keyPerson Michael R. Burns. Super Capers has starring Michael Rooker. Super Capers has director Ray Griggs (director). ,"['Lionsgate, the distributor for the movie Super Capers, has two key people: Jon Feltheimer and Michael R. Burns. Super Capers is directed by Ray Griggs and stars Michael Rooker.', 'Super Capers was distributed by Lionsgate but, directed by Ray Griggs. Michael Rooker played in the movie as well. Michael R Burns and Jon Feltheimer are key people of Lionsgate.', 'Michael R Burns and Jon Feltheimer played key roles for the company Lionsgate in the distribution of the film ""Super Capers,"" starring Michael Rooker and directed by Ray Griggs.']","Super Capers, distributed by Lionsgate, stars Michael Rooker and is directed by Ray Griggs. Jon Feltheimer and Michael R. Burns are key people at Lionsgate.",Id1411,0.8007636864980062,0.6113824645678202,0.8432662037002475,
3,2699,2699,EN,Gemma,4.0,,MusicalWork,Pop rock has musicSubgenre Indie pop. ,"[""Pop rock's subgenre is indie pop."", 'Indie pop is a music subgenre of pop rock.']",Pop rock has indie pop music subgenre.,Id921,0.799551784992218,0.5590772330760956,0.7583620414604747,
4,3144,3144,EN,Gemma,4.0,,Scientist,United States has motto In God we trust. ,"['The motto of the United States is ""In God We Trust"".', 'The motto of the United States is ""In God We Trust.""', 'United States\' motto is ""In God we trust"".']","The United States has the motto ""In God we trust.""",Id1366,0.848196804523468,0.5837815006573995,0.8548855829888968,
5,1850,1850,EN,Gemma,4.0,,MeanOfTransportation,Detroit has areaTotal 370.03. ,"['The total area of the city of Detroit is 370.03 square kilometers.', 'Detroit has a total area of 370.03 square kilometers.']",Detroit has an area of 370.03.,Id72,0.7291233539581299,0.3692254275083542,0.4097622560774755,
6,3278,3278,EN,Gemma,4.0,,University,"Acharya Institute of Technology has campus In Soldevanahalli, Acharya Dr. Sarvapalli Radhakrishnan Road, Hessarghatta Main Road, Bangalore – 560090.. All India Council for Technical Education has location Mumbai. Acharya Institute of Technology has director Dr. G. P. Prabhukumar. Acharya Institute of Technology has affiliation Visvesvaraya Technological University. Acharya Institute of Technology has country India. Acharya Institute of Technology has wasGivenTheTechnicalCampusStatusBy All India Council for Technical Education. ","[""Acharya Institute of Technology was given the 'Technical Campus' status by All India Council for Technical Education located in Mumbai which is affiliated with the Visvesvaraya Technological University. Acharya Institute of Technology's director is Dr. G. P. Prabhukumar which is located at Soldevanahalli, Acharya Dr. Sarvapalli Radhakrishnan Road, Hessarghatta Main Road, Bangalore - 560090, India."", 'The All India Council for Technical Education in Mumbai proudly bestowed its Technical Campus status to the Acharya Institute of Technology, directed by Dr. G. Prabhukumar. This institute is affiliated with the Visvesvaraya Technological University, and located at the campus address of Soldevanahalli, Acharya Dr. Sarvapalli Radhakrishnan Road, Hessarghatta Main Road, Bangalore - 560090, India.', 'Located at Soldevanahalli, Acharya Dr. Sarvapalli Radhakrishnan Road, Hessarghatta Main Road, Bangalore – 560090, the Acharya Institute of Technology is in India and was granted Technical Campus status by the Mumbai based All India Council for Technical Education. Its director is Dr. G. P. Prabhukumar and it is affiliated with Visvesvaraya Technological University.']","Acharya Institute of Technology has campus in Soldevanahalli, Bangalore. All India Council for Technical Education is located in Mumbai. Dr. G. P. Prabhukumar is the director of Acharya Institute of Technology. Acharya Institute of Technology is affiliated with Visvesvaraya Technological University. Acharya Institute of Technology is located in India. The technical campus status of Acharya Institute of Technology was given by All India Council for Technical Education.",Id1500,0.7667671243349711,0.5894899368286133,0.6974421230440615,
7,2721,2721,EN,Gemma,4.0,,MusicalWork,Turn Me On (album) has genre Noise rock. ,"['The album Turn Me On is an example of the musical genre known as noise rock.', 'The genre of the Turn Me On album is noise rock.', 'Noise rock is the genre of the album Turn Me On.']",Turn Me On (album) has genre Noise rock.,Id943,0.6959649920463562,0.424961785475413,0.6202169469698071,
8,3334,3334,EN,Gemma,4.0,,MusicalWork,Nord (Year of No Light album) has releaseDate 2006-09-06. Nord (Year of No Light album) has followedBy Live at Roadburn 2008 (Year of No Light album). Nord (Year of No Light album) has genre Sludge metal. Nord (Year of No Light album) has producer Year of No Light. Nord (Year of No Light album) has artist Year of No Light. Nord (Year of No Light album) has recordLabel Crucial Blast. ,"[""The Year of No Light's sludge metal album called Nord was released on Sept 6. 2006 followed by the album Live at Roadburn 2008. The Nord album was produced and released by Year of No Light under the Crucial Blast music label."", 'Year of No Light, a sludge metal band, produced and released their album Nord on June 9th 2006 with support from their label Crucial blast. This album preceded their next album Live at Roadburn that was released in 2008.', 'The album Nord was released on September 6, 2006, produced by Year of No Light, and is an album by Year of No Light.. Live at Roadburn 2008 was preceded by the album Nord, is in the sludge metal genre, and their record label is Crucial Blast.']","Year of No Light album was released on September 6, 2006, and is a Sludge metal album produced by Year of No Light, with artist Year of No Light, released by Crucial Blast. It was followed by Live at Roadburn 2008.",Id1556,0.752410372098287,0.5364969174067179,0.8455274265264641,
9,2004,2004,EN,Gemma,4.0,,Film,McVeagh of the South Seas has director Harry Carey (actor born 1878). McVeagh of the South Seas has distributor Alliance Films Corporation. McVeagh of the South Seas has director Gregory Allen. ,"[""'McVeagh of the South Seas', a film distributed by Alliance Films Corporation was directed by Gregory Allen and Harry Carey, an actor born in 1878."", 'Gregory Allen directed McVeagh of the South Seas which was distributed by Alliance Films Corporation. Actor Harry Carey, born in 1878, was also a director for the movie.', 'Harry Carey is an actor and co-director, along with Gregory Allen, of the movie McVeagh of the South Seas, which was distributed by Alliance Films Corporation.']","Harry Carey (actor born 1878) directed McVeagh of the South Seas, and Alliance Films Corporation distributed it. Gregory Allen also directed McVeagh of the South Seas.",Id226,0.7315570116043091,0.5965136885643005,0.8094337526111782,
