,Language,Model,BeamSearch,Temperature,Category,Input String,Original,Generated,TextID,BERTScore F1,chrF++,Sentence BLEU,Corpus BLEU
0,EN,Gemma,,1.4,SportsTeam,Estádio Municipal Coaracy da Mata Fonseca has location Arapiraca. Agremiação Sportiva Arapiraquense has league Campeonato Brasileiro Série C. Campeonato Brasileiro Série C has country Brazil. Agremiação Sportiva Arapiraquense has nickname Alvinegro. Agremiação Sportiva Arapiraquense has ground Estádio Municipal Coaracy da Mata Fonseca. ,"['Estádio Municipal Coaracy da Mata Fonseca is the name of the ground of Agremiação Sportiva Arapiraquense in Arapiraca. Agremiação Sportiva Arapiraquense, nicknamed ""Alvinegro"", lay in the Campeonato Brasileiro Série C league from Brazil.', 'Estádio Municipal Coaracy da Mata Fonseca is the name of the ground of Agremiação Sportiva Arapiraquense in Arapiraca. Alvinegro, the nickname of Agremiação Sportiva Arapiraquense, play in the Campeonato Brasileiro Série C league from Brazil.']","Estádio Municipal Coaracy da Mata Fonseca is located in Arapiraca. Agremiação Sportiva Arapiraquense plays in the Campeonato Brasileiro Série C, which is in Brazil. Agremiação Sportiva Arapiraquense is nicknamed Alvinegro and its ground is Estádio Municipal Coaracy da Mata Fonseca.",Id1,0.8274233937263489,0.7064596712589264,0.7127683872708811,0.7748416130505068
1,EN,Gemma,,1.4,Astronaut,Nie Haisheng has birthDate 1964-10-13. Nie Haisheng has occupation Fighter pilot. ,"['Nie Haisheng, born on October 13, 1964, worked as a fighter pilot.', 'Nie Haisheng is a former fighter pilot who was born on October 13, 1964.', 'Nie Haisheng born on 10/13/1964 is a fighter pilot.']","Nie Haisheng, born on 1964-10-13, is a Fighter pilot.",Id2,0.8162968158721924,0.530158281326294,0.8336786890357913,
2,EN,Gemma,,1.4,Airport,MotorSport Vision has city Fawkham. ,"['MotorSport Vision is located in the city of Fawkham.', 'MotorSport Vision is located in the city of Fawkham, UK.', 'MotorSport Vision is located in Fawkham.']",MotorSport Vision has city Fawkham.,Id3,0.718340535958608,0.5066897869110107,0.7497326033661904,
3,EN,Gemma,,1.4,Athlete,Aleksandr Prudnikov has height 185.0 (centimetres). FC Spartak Moscow has ground Otkrytiye Arena. Aleksandr Prudnikov has club FC Spartak Moscow. ,"['185 centimetre tall Aleksandr Prudnikov played for the Otkrytiye Arena based FC Spartak, Moscow.', 'The 185 cm tall Aleksandr Prudnikov plays for FC Spartak Moscow who call their home ground Otkrytiye Arena.', 'Aleksandr Prudnikov who is 185 cm tall, plays for FC Spartak Moscow whose ground is the Otkrytiye Arena.']","Aleksandr Prudnikov has height 185.0 centimetres and plays for FC Spartak Moscow, which has ground Otkrytiye Arena.
",Id4,0.8052186568578085,0.5915880997975668,0.7537521067022919,
4,EN,Gemma,,1.4,City,Ciudad Ayala has populationMetro 1777539. Ciudad Ayala has leaderTitle City Manager. Ciudad Ayala has type City. Ciudad Ayala has populationDensity 1604.0. Ciudad Ayala has governmentType Council-manager government. ,"['Ciudad Ayala is a city with population density and population of 1604 and 1777539 respectively, where the leader is called the City Manager. The government type in the city of Ciudad Ayala is council-manager.', 'The city of Ciudad Ayala, with a population of 1,777,539, is led by a City Manager on a council-manager government system. It has a population density of 1604.', 'Ciudad Ayala, a city with population density and population of 1604.0 and 1,777,539 respectively, uses a type of government called council-manager government. One of the leaders of Ciudad Ayala is the City Manager.']","Ciudad Ayala has a population of 1,777,539, a City Manager as its leader, is a City, has a population density of 1,604.0, and operates under a Council-manager government.",Id5,0.7001141707102457,0.504393587509791,0.7932704221602929,
5,EN,Gemma,,1.4,MusicalWork,Bootleg Series Volume 1: The Quine Tapes has precededBy Squeeze (The Velvet Underground album). Squeeze (The Velvet Underground album) has followedBy 1969: The Velvet Underground Live. ,"['The album 1969: The Velvet Underground Live is preceded by the Velvet Underground album Squeeze, which was followed by The Quine Tapes.', 'The Velvet Underground album Bootleg Series Volume 1: The Quine Tapes was preceded by the album Squeeze, which was followed by the live album 1969: The Velvet Underground Live.', 'The Bootleg Series Volume I: The Quine Tapes is preceded by the Velvet Underground album Squeeze which was itself followed by the album 1969: The Velvet Underground Live.']","Bootleg Series Volume 1: The Quine Tapes preceded Squeeze (The Velvet Underground album), which followed 1969: The Velvet Underground Live.",Id6,0.8121254642804464,0.6803369522094727,0.9444236104194226,
6,EN,Gemma,,1.4,City,Ciudad Ayala has populationDensity 1604.0. Ciudad Ayala has leaderTitle Governator. Ciudad Ayala has country Mexico. Ciudad Ayala has elevationAboveTheSeaLevel 1147.0. Ciudad Ayala has timeZone Pacific Daylight Time. ,"['Ciudad Ayala in Mexico with population density of 1604.0 and elevated 1147.0 above sea level is in the PDT time zone. The leader here is called the governator.', 'Ciudad Ayala is a country in Mexico that is located 1147 above sea level and is in the Pacific Daylight time zone. The population density is 1604 and the leader of Ciudad Ayala is called the governator.', 'Ciudad Ayala is located in Mexico and has a population density of 1604. The city stands 1147 m above sea level. The Governator is the leader of Ciudad Ayala located in the Pacific Daylight time zone.']","Ciudad Ayala has a population density of 1604.0, is led by a Governator, is located in Mexico, is at an elevation of 1147.0 above sea level, and uses Pacific Daylight Time.",Id7,0.7216887474060059,0.5003345211346945,0.8126992396240336,
7,EN,Gemma,,1.4,Scientist,Olga Bondareva has deathDate 1991-12-09. ,"['Olga Bondareva died on December 9, 1991.', 'Olga Bondareva died on the 9th of December, 1991.', ""The date of Olga Bondareva's death was the ninth of December 1991.""]","Olga Bondareva died on December 9, 1991.",Id8,0.8656999270121256,0.6762119829654694,1.0,
8,EN,Gemma,,1.4,Scientist,Saint Petersburg has foundingDate 1703-05-27. Olga Bondareva has deathPlace Saint Petersburg. Saint Petersburg has areaTotal 1439.0. ,"['Saint Petersburg was founded on May 27, 1703 and has a total area of 1439.0, Olga Bondareva passed away at Saint Petersburg.', 'Saint Petersburg, where Olga Bondareva died, was founded on the 27th of May, 1703 and has a total area of approximately 1439 km2.', 'Saint Petersburg, where Olga Bondareva died, was founded on May 27, 1703 and consists of a total area of 1439.0 sq/km.']",Saint Petersburg was founded in 1703-05-27. Olga Bondareva died in Saint Petersburg. Saint Petersburg has an area of 1439.0.,Id9,0.7493923703829447,0.48280705014864606,0.7205933712057134,
9,EN,Gemma,,1.4,City,Ciudad Ayala has populationDensity 1604.0. ,"['The population density of Ciudad Ayala is 1604.0.', 'Ciudad Ayala city has a population density of 1604.0.', 'The population density in Ciudad Ayala is 1604.']",Ciudad Ayala has a population density of 1604.0.,Id10,0.8668623367945353,0.7321260571479797,0.9832810195404816,
10,EN,Gemma,,1.4,Athlete,Piotr Hallmann has birthDate 1987-08-25. ,"['Piotr Hallmann was born on August 25, 1987.', ""Piotr Hallmann's birthday is August 25th 1987."", 'Piotr Hallmann was born on the 25th of August 1987.']",Piotr Hallmann was born on 1987-08-25.,Id11,0.7536551554997762,0.5015611052513123,0.7112299234161159,
11,EN,Gemma,,1.4,Scientist,Darlington has areaCode 01325. ,"['The Darlington town has an area code of 01325.', 'The telephone area code for Darlington is 01325.', 'The area code in Darlington is 01325.']",Darlington has area code 01325.,Id12,0.841101884841919,0.5171337028344473,0.7859525266772877,
12,EN,Gemma,,1.4,Monument,"Adams County, Pennsylvania has hasToItsWest Franklin County, Pennsylvania. 11th Mississippi Infantry Monument has established 2000. 11th Mississippi Infantry Monument has location Adams County, Pennsylvania. 11th Mississippi Infantry Monument has municipality Gettysburg, Pennsylvania. 11th Mississippi Infantry Monument has category Contributing property. Adams County, Pennsylvania has hasToItsNorth Cumberland County, Pennsylvania. ","[""Pennsylvania's Franklin County is found to the west of Adams County, Pennsylvania and Pennsylvania's Cumberland County is to the north. A monument to the 11th Mississippi Infantry was erected in Adams County in the year 2000 in the municipality of Gettysburg and this monument is categorised as a contributing property."", 'The 11th Mississippi Infantry Monument, a Contributing property established in the year 2000 in Adams County, Pennsylvania falls in the municipality of Gettysburg, Pennsylvania. Adams County Pennsylvania is East of Franklin County, Pennsylvania and has Cumberland County, Pennsylvania to its north.']","Adams County is west of Franklin County. The 11th Mississippi Infantry Monument was established in 2000 and is located in Adams County, Gettysburg. Adams County is north of Cumberland County.",Id13,0.7116985619068146,0.44092053174972534,0.5027182808521626,
13,EN,Gemma,,1.4,Artist,Israel has officialLanguage Modern Hebrew. ,"['The official language of Israel is modern Hebrew.', 'Israel’s official language is Modern Hebrew.', 'Modern Hebrew is the official language of Israel.']",Israel's official language is Modern Hebrew.,Id14,0.9009961088498434,0.7165559530258179,0.940028651976138,
14,EN,Gemma,,1.4,Airport,Adolfo Suárez Madrid–Barajas Airport has operatingOrganisation ENAIRE. Adolfo Suárez Madrid–Barajas Airport has location Alcobendas. Adolfo Suárez Madrid–Barajas Airport has elevationAboveTheSeaLevel 610.0. ,['ENAIRE is the operating organisation for Adolfo Suarez Madrid-Barajas airport. This airport is situated 610 meters above sea level in Alcobendas.'],"Adolfo Suárez Madrid–Barajas Airport has operatingOrganisation ENAIRE, is located in Alcobendas, and has an elevation above sea level of 610.0.",Id15,0.7555696368217468,0.46368762850761414,0.6469337601197012,
15,EN,Gemma,,1.4,Company,GMA New Media has foundingDate 2000-01-01. GMA New Media has product Mobile Applications. ,"['GMA New Media, a company founded on 01-01-2000 are manufacturers of mobile applications.', 'GMA New Media, which was founded on January 1, 2000, is a company that offers products such as mobile applications.', 'GMA New Media makes mobile apps and was founded on 01/01/2000.']",GMA New Media was founded in 2000 and produces Mobile Applications.,Id16,0.7739899357159933,0.39285215735435486,0.8225540533294725,
16,EN,Gemma,,1.4,Company,Hypermarcas has location São Paulo. Brazil has areaTotal 8514837.14  (square kilometres). Hypermarcas has location Brazil. Hypermarcas has industry Pharmaceuticals. ,"['Hypermarcas is a pharmaceutical company located in Sao Paulo, Brazil. Brazil is 8514837.14 square kilometers in size.', 'Hypermarcas, a pharmaceutical company, is located in Sao Paulo within the 8514837.14 square kilometres that make up the country of Brazil.', 'Hypermarcas, a company in the pharmaceuticals industry, is located in Sao Paulo, Brazil, a country with a total area of 8514837.14 square kilometres.']","Hypermarcas is located in São Paulo, Brazil. Hypermarcas operates in the Pharmaceuticals industry. Brazil has an area of 8514837.14 square kilometres.",Id17,0.8255308866500854,0.5910728573799133,0.7985364514965564,
17,EN,Gemma,,1.4,MusicalWork,Bootleg Series Volume 1: The Quine Tapes has genre Rock music. Bootleg Series Volume 1: The Quine Tapes has precededBy Squeeze (The Velvet Underground album). Squeeze (The Velvet Underground album) has precededBy Andy Warhols Velvet Underground Featuring Nico. ,"[""The Quine Tapes are Rock music genre preceded by the album Squeeze, and Squeeze was preceded by the album Andy Warhol's Velvet Underground Featuring Nico."", ""Bootleg Series Volume 1: The Quine Tapes's genre is rock, and is preceded by the Velvet Underground album Squeeze, which was preceded by the compilation album Andy Warhol's Velvet Underground Featuring Nico."", ""The album Bootleg Series Volume 1: The Quine Tapes fits into the Rock music genre and was preceded by Squeeze by The Velvet Underground, which in turn was preceded by Andy Warhol's Velvet Underground Featuring Nico.""]",Bootleg Series Volume 1: The Quine Tapes is rock music. Bootleg Series Volume 1: The Quine Tapes preceded Squeeze (The Velvet Underground album). Squeeze (The Velvet Underground album) preceded Andy Warhols Velvet Underground Featuring Nico.,Id18,0.7170948584874471,0.5715945164362589,0.713967344613212,
18,EN,Gemma,,1.4,University,"Acharya Institute of Technology has campus In Soldevanahalli, Acharya Dr. Sarvapalli Radhakrishnan Road, Hessarghatta Main Road, Bangalore – 560090.. Acharya Institute of Technology has director Dr. G. P. Prabhukumar. Acharya Institute of Technology has affiliation Visvesvaraya Technological University. Acharya Institute of Technology has country India. ","['Dr. G. P. Prabhukumar is the director of the Acharya Institute of Technology which is located at Soldevanahalli, Acharya Dr. Sarvapalli Radhakrishnan Road, Hessarghatta Main Road, Bangalore - 560090 in India and is affiliated with Visvesvaraya Technological University.', 'The Acharya Institute of Technology campus is located in Soldevanahalli, Acharya Dr. Sarvapalli Radhakrishnan Road, Hessarghatta Main Road, Bangalore – 560090, India. Its director is Dr.G.P. Prabhukumar and it is affiliated to Visvesvaraya Technological University.', 'The campus of the Acharya Institute of Technology is located at Soldevanahalli, Acharya Dr. Sarvapalli Radhakrishnan Road, Hessarghatta Main Road, Bangalore – 560090, India and it is affiliated with the Visvesvaraya Technological University. Its director is Dr.G.P.Prabhukumar.']","Acharya Institute of Technology has campus in Soldevanahalli, Acharya Dr. Sarvapalli Radhakrishnan Road, Hessarghatta Main Road, Bangalore – 560090. Acharya Institute of Technology has director Dr. G. P. Prabhukumar. Acharya Institute of Technology has affiliation with Visvesvaraya Technological University. Acharya Institute of Technology has country India.",Id19,0.864268958568573,0.7166683475176493,0.6784588016396518,
