,Language,Model,BeamSearch,Temperature,Category,Input String,Original,Generated,TextID,BERTScore F1,chrF++,Sentence BLEU,Corpus BLEU
0,RU,Llama3,4.0,,Food,“Запеченная Аляска” имеет course Десерт. Десерт имеет dishVariation Печенье. Соединённые Штаты Америки имеет ethnicGroup Афроамериканцы. “Запеченная Аляска” имеет country Соединённые Штаты Америки. ,"['“Запеченная Аляска” и печенье – десерты. ""Запеченная Аляска"" происходит из Соединённых Штатов Америки, в которых этническая группа - Афроамериканцы.', '""Запеченная Аляска"" и печенье - разновидность десерта и происходит из Соединённых Штатов Америки. Афроамериканцы - одна из этнических групп этой страны.']",Печенье. Афроамериканцы.,Id1,0.7390084564685822,0.138456791639328,0.005044142263445719,0.3809503785352598
1,RU,Llama3,4.0,,SportsTeam,Футбольный клуб “Акрон” (США) имеет fullName Akron Metro Futbol Club Summit Assault. Футбольный клуб “Акрон” (США) имеет numberOfMembers 3000. Футбольный клуб “Акрон” (США) имеет manager Дензил Антонио. Футбольный клуб “Акрон” (США) имеет season ПДЛ / Профессиональная лига развития. ,"['Насчитывающий 3000 членов сильный Футбольный клуб “Акрон” (США), полное наименование - Футбольный клуб «Акрон Саммит Ассолт» (США), играет в Профессиональной лиге развития в 2011 году. Дензил Антонио был ранее их менеджером.']",Акрон Метро Футбол Клаб Суммит Ассалт. 3000. Дензил Антонио. ПДЛ / Профессиональная лига развития.,Id2,0.7537201642990112,0.22931183874607086,0.18033216847133263,
2,RU,Llama3,4.0,,Food,бандеха паиса имеет ingredient Авокадо. бандеха паиса имеет country колумбийская кухня. бандеха паиса имеет region регион Пайса. ,"['Часть колумбийской, кухни бандеха паиса - это традиционное блюда региона Пайса. Одним из главных ингредиентов в этом блюде является авокадо.', 'Авокадо - один из ингредиентов в блюде бандеха паиса, которое является блюдом колумбийской кухни. Оно родом из региона Пайса.', 'Авокадо - один из ингредиентов в блюде бандеха паиса, который представляет собой типичную колумбийскую кухню из региона Паиса.']",Бандеха Паиса - традиционное колумбийское блюдо.,Id3,0.7783740957578024,0.1955365389585495,0.18179883285010087,
3,RU,Llama3,4.0,,ComicsCharacter,"Эйприл О’Нил имеет creator Лэрд, Питер. Лэрд, Питер имеет nationality Соединённые Штаты Америки. ","[""Эйприл О 'Нил был создан Питером Лэрдом, из Соединенных Штатов Америки."", ""Персонаж Эйприл О'Нил был создан Питером Лэрдом, гражданином Соединенных Штатов Америки."", ""Эйприл О 'Нил был создан американцем Питером Лэрдом.""]",Апрель О'Нил - американка.,Id4,0.7231263120969137,0.13331432143847147,0.21440874500701035,
4,RU,Llama3,4.0,,University,"Румыния имеет ethnicGroup Немцы в Румынии. Румыния имеет leader Йоханнис, Клаус. Румыния имеет patronSaint Андрей Первозванный. Румыния имеет capital Бухарест. Университет «1 декабря 1918» имеет country Румыния. Румыния имеет anthem Гимн Румынии. ","['Университет «1 декабря 1918» находится в Румынии. Столица Румынии - Бухарест; ее лидером является Клаус Йоханнис и его покровитель - Андрей Первозванный. Этническая группа страны - румынские немцы, а гимн - ""Проснись, румын!"".', 'Университет «1 декабря 1918» находится в Румынии под руководством Клауса Йоханниса, столицей Румынии является Бухарест. Румынский гимн - ""Проснись, румын!"", ее покровитель - Андрей Первозванный и ее этническая группа - румынские немцы.', 'Университет «1 декабря 1918» находится в Румынии. Столица страны - Бухарест, а лидером является Клаус Йоханнис. Этнически страна в основном немецкая, ее покровитель - это Андрей Первозванный, а национальный гимн - ""Проснись, румын!"".']","Немцы в Румынии. 
Клаус Йоханнис. 
Андрей Первозванный. 
Бухарест. 
Румыния. 
Гимн Румынии.",Id5,0.7691304286321005,0.25078223645687103,0.17138555347141157,
5,RU,Llama3,4.0,,CelestialBody,(103) Гера имеет absoluteMagnitude 7.66. ,"['(103) Гера имеет абсолютную величину 7,66.', 'Небесное тело, известное как (103) Гера, имеет абсолютную величину 7,66.', 'Абсолютная величина (103) Геры - 7,66.']","Гера имеет абсолютную величину 7,66.",Id6,0.8709414800008138,0.5644491612911224,0.9459594689067654,
6,RU,Llama3,4.0,,Food,сендвич БиЭлТи / BLT / БСТ имеет ingredient Латук посевной. сендвич БиЭлТи / BLT / БСТ имеет dishVariation клаб-сэндвич / клубный сэндвич. сэндвич с беконом имеет dishVariation сендвич БиЭлТи / BLT / БСТ. ,"['Вариация клаб-сендвича, Сэндвич БиЭлТи, имеет латук посевной в качестве ингредиента. Вариацией сэндвича БиЭлТи является сендвич с беконом.', 'Латук посевной - ингредиент сендвича БиЭлТи, который является вариантом клубного сэндвича. В то время как сэндвич с беконом - это вариация сендвича БиЭлТи.']",Латук посевной. Клаб-сэндвич. Сендвич БиЭлТи.,Id7,0.8087679743766785,0.20789803564548492,0.1012750233853175,
7,RU,Llama3,4.0,,CelestialBody,(10) Гигея имеет orbitalPeriod 5.57 (days). ,"['(10) Гигея имеет орбитальный период 5,57 дней.', '5,57 дней - это орбитальный период для (10) Гигеи.', '(10) Гигея выполняет полный оборот по орбите за 5,57 дней.']","Гигея имеет орбитальный период 5,57 дня.",Id8,0.8626158634821574,0.4919759581486384,0.8320163892750175,
8,RU,Llama3,4.0,,SportsTeam,ФК “Димитра Эфксейноуполи” имеет numberOfMembers 1500. ФК “Димитра Эфксейноуполи” имеет chairman Антонис Милионис. ФК “Димитра Эфксейноуполи” имеет ground Эфксейнуполи. ,"['ФК “Димитра Эфксейнуполи” насчитывает 1500 членов, возглавляет Антонис Милионис, и находится в городе Эфксейнуполи.', 'Антонис Милионис - председатель ФК “Димитра Эфксейнуполи”. Они состоят из 1500 членов, а их домашняя площадка расположена в городе Эфксейнуполи.', 'Площадка ФК “Димитра Эфксейнуполи” расположена в Эфксейнуполи, имеет 1500 членов, а ее председателем является Антонис Милионис.']","Я не нашел информации о футбольного клубе ""Димитра Эфксейноуполи"".",Id9,0.6972905198733012,0.16068663199742636,0.19026702455088057,
9,RU,Llama3,4.0,,Building,Дом Ашера и Мэри Изабель Ричардсон имеет added to the National Register of Historic Places 1988-11-22. ,['Дом Ашера и Мэри Изабель Ричардсон был добавлен в Национальный реестр исторических мест 22 ноября 1988 года.'],Дом Ашера и Мэри Изабель Ричардсон внесен в Национальный реестр исторических мест 22 ноября 1988 года.,Id10,0.95696622133255,0.8786041736602783,0.8933458163262402,
10,RU,Llama3,4.0,,Airport,Аэропорт Ардмор (Новая Зеландия) имеет runwayLength 518.0. ,"['Протяженность взлетно-посадочной полосы аэропорта Ардмор (Новая Зеландия) составляет 518,0.', 'Протяженность взлетно-посадочной полосы аэропорта Ардмор (Новая Зеландия) составляет 518,0 м.', 'Протяженность взлетно-посадочной полосы аэропорта ""Ардмор"" (Новая Зеландия) составляет 518,0.']",Аэропорт Ардмор (Новая Зеландия) имеет взлетно-посадочную полосу длиной 518 метров.,Id11,0.8263471126556396,0.4895287851492564,0.6352839835719538,
11,RU,Llama3,4.0,,Airport,Схипхол имеет cityServed Амстердам. ,"['Схипхол обслуживает город Амстердам.', 'Аэропорт Схипхол обслуживает Амстердам.']",Амстердам.,Id12,0.7675662338733673,0.2993779927492142,0.07427357821433388,
12,RU,Llama3,4.0,,University,Керала имеет leader Коччи. Инженерный колледж «AWH» имеет state Керала. Керала имеет hasToItsNorthwest Маэ. ,"['Инженерный колледж ""AWH"" расположен в штате Керала. Лидером Кералы является Кочи. К северо-западу от Кералы находится Маэ, Индия.', 'Коччи - руководитель штата Керала, который находится к юго-востоку от Маэ, Индия, и это место расположения Инженерного колледжа ""AWH"".', 'Инженерный колледж ""AWH"" в штате Керала находится к юго-востоку от Маэ в Индии. Лидера Керала зовут Коччи.']",Керала имеет лидера Коччи. Инженерный колледж «AWH» находится в штате Керала. Керала имеет на северо-западе Маэ.,Id13,0.8316893378893534,0.39249187707901,0.7546941613100735,
13,RU,Llama3,4.0,,CelestialBody,1097 Виция имеет orbitalPeriod 135589000.0. 1097 Виция имеет epoch 2006-12-31. ,"['Орбитальный период 1097 Виции - 135589000,0 и эпоха - 31 декабря 2006 года.', 'Эпоха 1097 Виции, имеющей орбитальный период 135589000,0, - 13 января 2016 года.', 'Орбитальный период 1097 Виции - 135589000,0 и его эпоха - 2006.12.31.']",1097 Виция имеет орбитальный период 135589000.0. 1097 Виция имеет эпоху 2006-12-31.,Id14,0.7791342933972677,0.42281683286031085,0.60730301779212,
14,RU,Llama3,4.0,,Food,сэндвич с беконом имеет dishVariation сендвич БиЭлТи / BLT / БСТ. сэндвич с беконом имеет ingredient Хлеб. ,"['Сэндвич с беконом может быть преобразован в Сэндвич БиЭлТи, который имеет широко распространённый ингредиент, известный как хлеб.', 'Один из ингредиентов сэндвича с беконом - хлеб, а одна из разновидностей - сендвич БиЭлТи.', 'Сэндвич с беконом, сделанный из хлеба, - это вариация сендвича БиЭлТи.']",Сэндвич с беконом.,Id15,0.7545729875564575,0.1847535421450933,0.05300188009868312,
15,RU,Llama3,4.0,,Food,"бхаджи имеет country Индия. Индия имеет leader Т.С. Тхакур. Индия имеет leader Моди, Нарендра. бхаджи имеет region Карнатака. ","['Бхаджи находится в районе Карнатаки; он происходит из Индии. Т.С. Тхакур является лидером Индии, и Нарендра Моди также лидером.', 'Бхаджи происходит из региона Карнатака в Индии. Два лидера Индии - Т. С. Тхакур и Нарендра Моди.', 'Бхаджи родом из района Карнатака, Т.С. Тхакур - лидер Индии, а Нарендра Моди - также одно из имен одного из лидеров в Индии.']","Район Карнатака, Индия.",Id16,0.6873140136400858,0.1092643861969312,0.03279869052257062,
16,RU,Llama3,4.0,,Food,суп Бинигнит имеет ingredient Батат. суп Бинигнит имеет region Висайские острова. суп Бинигнит имеет mainIngredient Кокосовое молоко. суп Бинигнит имеет country Филиппины. ,"['Суп Бинигнит родом с Висайских островов, из региона Филиппин. Его основные ингредиенты - батат и кокосовое молоко.', 'Батат и кокосовое молоко – ингредиенты в супе Бинигнит, который родом с Висайских островов на Филиппинах.', 'Суп Бинигнит, который состоит из батата и кокосового молока, – блюдо из района Висайских островов Филиппин.']","Суп Бинигнит - традиционный филиппинский суп, приготовленный из батата, кокосового молока и других ингредиентов.",Id17,0.7961181004842123,0.3681885202725728,0.6211960425091835,
17,RU,Llama3,4.0,,ComicsCharacter,Карл Кесель имеет nationality Американцы США. ,"['Гражданство Карла Кеселя - американское.', 'Карл Кесель - американец.']",Американец.,Id18,0.7530410587787628,0.24879198521375656,0.2501427425996077,
18,RU,Llama3,4.0,,University,"Технологический институт Ачарья имеет city Бангалор. Технологический институт Ачарья имеет established 2000 год. Технологический институт Ачарья имеет country India. Технологический институт Ачарья имеет numberOfPostgraduateStudents 700. Технологический институт Ачарья имеет campus In Soldevanahalli, Acharya Dr. Sarvapalli Radhakrishnan Road, Hessarghatta Main Road, Bangalore – 560090.. ","['Технологический институт Ачарья находится в городе Солдеванахалли, Ачарья д-р Сарвапалли Радхакришнан Роуд, Хессаргхатта Мейн Роуд, Бангалор -- 560090, Индия. Школа была создана в 2000 году и имеет 700 аспирантов.', 'Технологический институт Ачарья был основан в 2000 году и базируется в городе Бангалоре в Индии. В настоящее время в нем насчитывается 700 аспирантов, а его точное местоположение - Солдеванахалли, Ачарья д-р Сарвапалли Радхакришнан Роуд, Хессаргхатта Мейн Роуд, Бангалор - 560090.']","Технологический институт Ачарья, расположенный в городе Бангалор, был основан в 2000 году и находится в стране Индия. В вузе обучается 700 аспирантов. Кампус расположен в Солдеванахалли, по адресу Ачарья Доктор Сарвапалли Раджакришнан Роад, Хессаргатта Майн Роад, Бангалор – 560090.",Id19,0.8547979593276978,0.5784067213535309,0.7378119068696389,
19,RU,Llama3,4.0,,SportsTeam,"Рома (футбольный клуб) имеет fullName Associazione Sportiva Roma S.p.A.. Рома (футбольный клуб) имеет ground Rome, Italy. Рома (футбольный клуб) имеет numberOfMembers 70634. ","['Футбольный клуб “Рома” - полное название ФК “Рома”, который насчитывает 70634 участника и имеет домашнюю площадку в Риме, Италия.', 'ФК ""Рома"" насчитывает 70634 членов, проводит домашние игры в Риме, и его полное название - Футбольный клуб ""Рома"".', 'ФК ""Рома"" или футбольный клуб ""Рома"" имеет 70634 участника и домашнюю площадку в Риме, Италия.']",Ассоциация Спортивного Рома.,Id20,0.5926953156789144,0.051369224985440574,0.018525937738714242,
20,RU,Llama3,4.0,,SportsTeam,Лумеццане (футбольный клуб) имеет season Италия Лега Про / Профессиональная лига Италии. ,"['ФК ""Лумеццане"" сыграл в сезоне 2014-2015 годов в Профессиональной лиге Италии.', 'ФК ""Лумеццане"" сыграл в Профессиональной лиге Италии в сезоне 2014 года.']",Сезон 2022/2023.,Id21,0.5611391365528107,0.047002170234918594,0.007650974987776362,
21,RU,Llama3,4.0,,Building,3Arena имеет owner Лайв Нэйшн Энтертейнмент. Дублин имеет leader Криона Ни Далай (жен). Дублин имеет country Ирландия. 3Arena имеет location Дублин. ,"['3 ""Арена"" расположена в Дублине, Республика Ирландия, где Криона Ни Далай была лорд-мэром. Владелец 3Arena - Лайв Нэйшн Энтертейнмент.', 'Лорд-мэр Дублина (Республика Ирландия) - Криона Ни Далай. В Дублине базируется 3Arena, которая принадлежит компании Лайв Нэйшн Энтертейнмент.', '""3Arena"", Дублин, Республика Ирландия принадлежит компании Лайв Нэйшн Энтертейнмент. Криона Ни Далай была лорд-мэром Дублина.']","Лайв Нэйшн Энтертейнмент, Криона Ни Далай, Ирландия, Дублин.",Id22,0.820546547571818,0.38925143082936603,0.3056036009434158,
22,RU,Llama3,4.0,,CelestialBody,"(103) Гера имеет discoverer Уотсон, Джеймс Крейг. Уотсон, Джеймс Крейг имеет deathPlace Мадисон (Висконсин). Уотсон, Джеймс Крейг имеет deathCause Перитонит. ","['Джеймс Крейг Уотсон, обнаруживший (103) Геру, умер в Мэдисоне, штат Висконсин, от перитонита.', '(103) Гера была обнаружена Джеймсом Крейгом Уотсоном. Он умер в Мэдисоне, Висконсин, от перитонита.', '(103) Гера была обнаружена Джеймсом Крейгом Уотсоном, который умер от перитонита в Мэдисоне, штат Висконсин.']",Джеймс Крейг Уотсон.,Id23,0.7492280999819437,0.1426219344139099,0.02523695831894226,
23,RU,Llama3,4.0,,Building,"Конференц-площадка Асиломар имеет architect Морган, Джулия. Морган, Джулия имеет significantBuilding музей искусств Риверсайд. Морган, Джулия имеет significantProject Херст-касл. Морган, Джулия имеет significantBuilding Чайна-таун (Сан-Франциско). Морган, Джулия имеет birthPlace Калифорния. ","['Конференц-площадка Асиломар была спроектирована Джулией Морган (родилась в Калифорнии), которая известна как автор ряда зданий, в том числе Херст-касл и музей искусств Риверсайд, а также ее работами в Чайна-тауне Сан-Франциско.', 'Джулия Морган, архитектор, родилась в Калифорнии, и некоторые из ее значимых проектов включают: конференц-площадку Асиломар, музей искусств Риверсайд, Херст-касл и некоторые здания в Чайна-тауне, Сан-Франциско.', 'Джулия Морган, родившаяся в Калифорнии, была архитектором Конференц-площадки Асиломар, музея искусств Риверсайд, Херст-касл и здания в Чайна-тауне Сан-Франциско.']",Конференц-площадка Асиломар. Музей искусств Риверсайд. Херст-касл. Чайна-таун (Сан-Франциско).,Id24,0.8042567173639933,0.3453175723552704,0.4220340111583341,
24,RU,Llama3,4.0,,Building,"Амдавад ни Гуфа имеет location Гуджарат. Амдавад ни Гуфа имеет country Индия. Индия имеет leader Моди, Нарендра. Индия имеет leader Самитра Махаджан (жен). ","['Самитра Махаджан и Нарендра Моди - лидеры Индии, где в Гуджарате находится Амдавад ни Гуфа.', 'Амдавад ни Гуфа находится в Гуджарате, Индия, где Нарендра Моди - премьер-министр и один из лидеров - Самитра Махаджан.']","Амдавад ни Гуфа находится в Гуджарате. Амдавад ни Гуфа находится в Индии. Индия руководится Моди, Нарендра. Индия руководится Самитра Махаджан.",Id25,0.8454362154006958,0.5348995625972748,0.5479363113633375,
