,Language,Model,BeamSearch,Temperature,Category,Input String,Original,Generated,TextID,BERTScore F1,chrF++,Sentence BLEU,Corpus BLEU,Mean correctness,Mean readability,Mean hallucination
0,EN,Phi4,4.0,,Airport,Bedford Aerodrome has operatingOrganisation MotorSport Vision. Bedford Aerodrome has icaoLocationIdentifier EGBF. Bedford Aerodrome has elevationAboveTheSeaLevel 83.2104. Bedford Aerodrome has runwayName 08/26. Bedford Aerodrome has runwaySurfaceType Concrete. ,"[""MotorSport Vision is the operating organisation for Bedford Aerodrome which has a runway surface made out of concrete. Bedford Aerodrome's International Civil Aviation Organization (ICAO) identifier is EGBF and it is 83.2104 above sea level. The aerodrome has a runway called 08/26."", 'The Bedford Aerodrome, operated by the MotorSport Vision, is located 83.2 meters above sea level at ICAO location identifier EGBF. It has a concrete runway named ""08/26"".', 'MotorSport Vision operates the Bedford Aerodrome, whose ICAO location identifier is EGBF. It is also known for a runway called 08/26, and it has a runway surface made of concrete with the elevation above sea level of 82.2104.']","Bedford Aerodrome, operated by MotorSport Vision, has the ICAO Location Identifier EGBF and is situated at an elevation of 83.2104 feet above sea level. The aerodrome features a runway named 08/26, which is made of concrete.",Id1527,0.799705962340037,0.5255301892757416,0.868164871117888,,8.333333333333334,8.666666666666666,3.0
1,EN,Phi4,4.0,,Food,"Mexico has currency Mexican peso. Mexico has demonym Mexicans. Bionico has course Dessert. Bionico has mainIngredient Chopped Fruits, Sour Cream, Condensed Milk, Granola, Shredded Coconut, Raisins. Dessert has dishVariation Sandesh (confectionery). Bionico has country Mexico. ","['Bionico, a dessert found in Mexico along with Sandesh (confectionary), is made of sour cream, chopped fruits, condensed milk, granola, raisins and shredded coconut, and Mexicans, people living in Mexico, use the peso, the local currency, to buy it.', 'The main ingredients of Bionico (a dish served for dessert) are chopped fruits, sour cream, condensed milk, granola, shredded coconut and raisins, bionico is a food found in Mexico. The currency in Mexico is the Mexican peso, and the country is inhabited by the Mexicans. Sandesh is a nice confectionery dessert.', 'Chopped Fruits, sour cream, condensed milk, granola, shredded coconut and raisins are the main ingredients in bionico (a dessert). The currency of Mexico is the peso inhabited by the Mexicans. Sandesh is a dessert.']","Mexico has currency Mexican peso. Mexico has demonym Mexicans. Bionico has course Dessert. Bionico has mainIngredient Chopped Fruits, Sour Cream, Condensed Milk, Granola, Shredded Coconut, Raisins. Dessert has dishVariation Sandesh (confectionery). Bionico has country Mexico.",Id1318,0.6866262952486674,0.3813404937585194,0.6638299217277497,,9.5,5.5,0.0
2,EN,Phi4,4.0,,Airport,Bedford Aerodrome has operatingOrganisation MotorSport Vision. ,"['The Bedford Aerodrome has an operating organization that is called the MotorSport Vision.', 'MotorSport Vision is the operating organisation for Bedford Aerodrome.', 'MotorSport Vision operates the Bedford Aerodrome.']",Bedford Aerodrome is operated by MotorSport Vision.,Id935,0.7493144869804382,0.5557353297869364,0.8789048553258312,,10.0,10.0,0.0
3,EN,Phi4,4.0,,Astronaut,Zaoyang has isPartOf Xiangyang. ,"['Zaoyang is part of Xiangyang.', 'Zaoyang is in Xiangyang.']",Zaoyang is part of Xiangyang.,Id1066,0.9389169812202454,0.8460653424263,1.0,,10.0,10.0,0.0
4,EN,Phi4,4.0,,Scientist,India has demonym Indian. ,"['Indian is the demonym for people from India.', 'The demonym for a person from India is Indian.', 'Indian is the demonym for the people of India.']",The people from India are called Indians.,Id620,0.658790111541748,0.3731701076030731,0.6597300006942978,,10.0,10.0,0.0
5,EN,Phi4,4.0,,Film,Death on a Factory Farm has musicComposer Jamie Lawrence. Jamie Lawrence has birthDate 1970-03-08. ,"['Jamie Lawrence, born on 03-08-1970, is the music composer of Death on a Factory Farm.', 'The movie ""Death on a Factory Farm"" contains music composed by Jamie Lawrence, who was born on 03/08/1970.', 'Jamie Lawrence, who was born on March 8th, 1970 wrote music for the film ""Death on a Factory Farm"".']","Death on a Factory Farm has musicComposer Jamie Lawrence. Jamie Lawrence was born on March 8, 1970.",Id723,0.6779384016990662,0.5369727412859598,0.763837993619625,,8.666666666666666,7.666666666666667,3.0
6,EN,Phi4,4.0,,University,University of Burgundy has city Dijon. University of Burgundy has country France. ,"['The University of Burgundy is located in the city of Dijon in France.', 'The University of Burgundy is located in Dijon, France.', 'The University of Burgundy is located in the city of Dijon,France.']","The University of Burgundy is located in the city of Dijon, which is in France.",Id1499,0.903931438922882,0.8769521713256836,0.8739313517316732,,10.0,10.0,0.0
7,EN,Phi4,4.0,,Scientist,Darinka Dentcheva has citizenship United States. United States has leader John Roberts. ,"['Darinka Dentcheva is a citizen of the United States, the country where John Roberts is one of the leaders.', 'Darinka Dentcheva is a citizen of the United States, where John Roberts serves as one of the countries leaders.', 'John Roberts is a leader in the United States, where Darinka Dentcheva is a citizen.']",Darinka Dentcheva has citizenship in the United States. The United States has leader John Roberts.,Id432,0.7768199443817139,0.5191029906272888,0.6495622897086735,,10.0,7.0,0.0
8,EN,Phi4,4.0,,Film,McVeagh of the South Seas has imdbId 0004319. McVeagh of the South Seas has starring Harry Carey (actor born 1878). McVeagh of the South Seas has writer Harry Carey (actor born 1878). McVeagh of the South Seas has producer The Progressive Motion Picture Company. McVeagh of the South Seas has distributor Alliance Films Corporation. ,"['McVeagh of the South Seas (IMDb id 0004319) was written by Harry Carey, born in 1878, who also had a role in the film. McVeagh of the South Seas was produced by the Progressive Motion Picture Company and distributed by the Alliance Films Corporation.', 'Harry Carey, born in 1878, wrote and starred in McVeagh of the South Seas which was produced by the Progressive Motion Picture Company. The movie was registered in IMDb with the ID 0004319 and distributed by Alliance Films Corporation.', 'The film McVeagh of the South Seas was written by and starred the actor Harry Carey, who was born in 1878. The film was produced by the Progressive Motion Picture Company and distributed by Alliance Films Corporation. The film can be found in IMDb under the ID 0004319.']","McVeagh of the South Seas, which has an IMDb ID of 0004319, stars Harry Carey, an actor born in 1878, who also wrote the film. The movie was produced by The Progressive Motion Picture Company and distributed by Alliance Films Corporation.",Id562,0.8288125991821289,0.6693801879882812,0.9184173861369131,,10.0,10.0,0.0
9,EN,Phi4,4.0,,Airport,Al Asad Airbase has operatingOrganisation United States Air Force. Al Asad Airbase has icaoLocationIdentifier ORAA. ,"['Operated by the United States Air Force, Al Asad Airbase uses ORAA as its ICAO location identifier.', 'The ICAO Location Identifier of Al Asad Airbase is ORAA and is operated by The United States Air Force.', 'ORAA is the ICAO location identifier of Al Asad Airbase which is operated by the United States Air Force.']",Al Asad Airbase is operated by the United States Air Force and has the ICAO Location Identifier ORAA.,Id494,0.879675288995107,0.7050142089525858,0.9410201374065814,,10.0,9.5,0.0
10,EN,Phi4,,0.8,Scientist,Lady Anne Monson has nationality Kingdom of England. Lady Anne Monson has residence India. Lady Anne Monson has spouse George Monson. ,"['Lady Anne Monson is from the Kingdom of England. She resided in India and was married to George Monson.', 'Lady Anne Monson, an Englishwoman residing in India, is married to George Monson.', 'Lady Anne Monson, spouse of George Monson, lived in the Kingdom of England at one point and held British nationality, despite residing in India most of her life.']",Lady Anne Monson is from the Kingdom of England and currently resides in India. She is married to George Monson.,Id1002,0.8159247835477194,0.6038151880105337,0.8699553167232706,,9.5,9.5,0.0
