,index,Unnamed: 0,Language,Model,BeamSearch,Temperature,Category,Input String,Original,Generated,TextID,BERTScore F1,chrF++,Sentence BLEU,Corpus BLEU
0,724,724,RU,Gemma,4.0,,Building,Отель Белла Скай имеет location Дания. Дания имеет language Фарерский язык. Дания имеет leader Маргрете II. Marriott International имеет foundationPlace Вашингтон (округ Колумбия). Отель Белла Скай имеет tenant Marriott International. ,"['Отель Белла Скай Копенгаген расположен в Дании, где говорят на фарерском, а лидер - Маргрете II. Нынешним арендатором отеля является отель Marriott International, который был основан в Вашингтоне, округ Колумбия.', 'Маргрете II возглавляет страну, где говорят на фарерском языке. Marriott International, основанная в Вашингтоне, является действующим арендатором Отеля Белла Скай в Копенгагене.']","Отель Белла Скай расположен в Дании, где говорят на фарерском языке, и правит Маргрете II. Этот отель принадлежит компании Marriott International, штаб-квартира которой находится в Вашингтоне (округ Колумбия).",Id725,0.8157975673675537,0.5456247627735138,0.7105339335558839,
1,369,369,RU,Gemma,4.0,,Astronaut,Эллиот Си имеет occupation летчик-испытатель. ,"['Эллиот Си был летчиком-испытателем.', 'Эллиот Си служил летчиком-испытателем.', 'Эллиот Си летал в качестве летчика-испытателя.', 'Профессия Эллиота Си была летчик-испытатель.', 'Эллиот Си выступал в качестве летчика-испытателя.']",Эллиот Си — летчик-испытатель с опытом работы `occupation` лет.,Id370,0.8190698385238647,0.4202180206775665,0.4859364786813541,
2,748,748,RU,Gemma,4.0,,Airport,Международный аэропорт Анголы имеет location Иколу-э-Бенгу. Иколу-э-Бенгу имеет country Ангола. Иколу-э-Бенгу имеет isPartOf Луанда (провинция). Международный аэропорт Анголы имеет elevationAboveTheSeaLevelInMetres 159. ,"['Расположенный на высоте 159 метров над уровнем моря, Международный аэропорт Анголы находится в Иколу-э-Бенгу, провинция Луанда, Ангола.', 'Международный аэропорт Анголы, находящийся на высоте 159 метров над уровнем моря, расположен в Иколу-э-Бенгу, провинция Луанда, Ангола.', 'Международный аэропорт Анголы расположен в городе Иколу-э-Бенгу в провинции Луанда, Ангола. Он расположен на высоте 159 метров над уровнем моря.']","Международный аэропорт Анголы, расположенный в Иколу-э-Бенгу, находится в Анголе на высоте 159 метров над уровнем моря. Иколу-э-Бенгу является частью провинции Луанда.",Id749,0.8935227394104004,0.7155269781748453,0.8046087601128801,
3,522,522,RU,Gemma,4.0,,Building,Музей искусств Акита имеет country Япония. ,['Музей искусств Акита расположен в Японии.'],Музей искусств Акита находится в Японии.,Id523,0.8956078886985779,0.6747019290924072,0.7291344395626355,
4,1084,1084,RU,Gemma,4.0,,Astronaut,"Олдрин, Базз имеет birthPlace Глен-Ридж. Олдрин, Базз имеет mission Аполлон-11. Олдрин, Базз имеет status Retired. Олдрин, Базз имеет nationality Соединённые Штаты Америки. Олдрин, Базз имеет almaMater Massachusetts Institute of Technology, Sc.D. 1963. Аполлон-11 имеет backup pilot Андерс, Уильям. Аполлон-11 имеет operator НАСА. ","['Базз Олдрин родился в городе Глен-Ридж, штат Нью-Джерси. Окончил Массачусетский технологический институт в 1963 году со степенью доктора технических наук. Он - американец, член экипажа ""Аполлона-11"" под управлением НАСА. Сейчас он в отставке. Резервным пилотом ""Аполлона-11"" был Уильям Андерс.', 'Базз Олдрин - американец, родившимся в Глен-Ридже, штат Нью-Джерси. В 1963 году окончил Массачусетский технологический институт со степенью доктора наук. С Уильямом Андерсом в качестве резервного пилота, он был членом экипажа ""Аполлона-11"", управляемого НАСА.', 'Базз Олдрин был американцем, родившимся в Глен-Ридже, штат Нью-Джерси, и окончил Массачусетский технологический институт со степенью доктора наук в 1963 году. Он был членом экипажа ""Аполлона-11"", управляемого НАСА с Уильямом Андерсом в качестве резервного пилота.']","Базз Олдрин родился в Глен-Ридже. Он был участником миссии «Аполлон-11». Сейчас он находится на пенсии и является гражданином Соединенных Штатов Америки. Он окончил Массачусетский технологический институт в 1963 году со степенью Sc.D. Андерс Уильям был запасным пилотом «Аполлона-11», а оператором этой миссии выступала НАСА.",Id1085,0.8153334657351176,0.4811766346295674,0.6300118967837187,
5,322,322,RU,Gemma,4.0,,University,"Технологический институт Ачарья имеет president B.M. Reddy. Технологический институт Ачарья имеет city Бангалор. Технологический институт Ачарья имеет director Dr. G. P. Prabhukumar. Технологический институт Ачарья имеет established 2000 год. Технологический институт Ачарья имеет country India. Технологический институт Ачарья имеет campus In Soldevanahalli, Acharya Dr. Sarvapalli Radhakrishnan Road, Hessarghatta Main Road, Bangalore – 560090.. Технологический институт Ачарья имеет affiliation Технологический университет Висвесварайя. ","['Технологический институт Ачарья в Бангалоре, Индия, был создан в 2000 году и связан с Технологическим университетом Висвесварайя. Президентом школы является Б. М. Редди и её директор - доктор Г.П. Прабхукумар. Полный адрес школы - Солдеванахалли, Ачарья Д-р Сарвапалли Радхакришнан Роуд, Хессаргхатта Мейн Роуд, Бангалор - 560090.', 'Технологический институт Ачарья, расположенный в Бангалоре, Индия, был создан в 2000 году. Президент - Б.М. Редди, а директор - доктор Г.П. Прабхукумар. Институт является филиалом Технологического университета Висвесварайя, его кампус расположен по адресу: Солденванахалли, Ачарья, д-р Сарвапалли Радхакришнан Роуд, Хессаргхатта Мейн Роуд, Бангалор - 560090.', 'Технологический институт Ачарья, входящий в состав Технологического университета Висвесварайя, расположен в Солдеванахалли, Д-р Сарвапалли Радхакришнан Роуд, Хессаргхатта Мейн Роуд, Бангалор, Индия (560090). Он был основан в 2000 году, и его текущим президентом является Б. М. Редди, в то время как его директор - доктор Г.П. Прабхукумар.']","Технологический институт Ачарья, президент которого - B.M. Reddy, расположен в городе Бангалор, Индия, был основан в 2000 году. Директором института является Dr. G. P. Prabhukumar. Институт связан с Технологическим университетом Висвесварайя. Его кампус находится по адресу: In Soldevanahalli, Acharya Dr. Sarvapalli Radhakrishnan Road, Hessarghatta Main Road, Bangalore – 560090.",Id323,0.7930784821510315,0.4171096086502075,0.5739363413494677,
6,719,719,RU,Gemma,4.0,,Food,“Запеченная Аляска” имеет country Франция. “Запеченная Аляска” имеет region Нью-Йорк (штат). “Запеченная Аляска” имеет ingredient Бисквит. ,"['Бисквит - один из ингредиентов ""Запеченной Аляски"", который родом из регионов Нью-Йорка и Франции.', 'Бисквит – ингредиент ""Запеченной Аляски"", которая, как утверждается, родом из Франции и Нью-Йорка.', 'Бисквит – ингредиент ""Запеченной Аляски"", которая, как утверждается, возникла в Нью-Йорке и Франции.']","Запеченная Аляска — блюдо из Франции, регион Нью-Йорк, с бисквитом в качестве ингредиента.",Id720,0.7991862694422404,0.3567130267620086,0.5945830234804573,
7,511,511,RU,Gemma,4.0,,ComicsCharacter,"Астерикс имеет creator Госинни, Рене. ","['Астерикс был создан Рене Госинни.', 'Создателем Астерикса (персонажа комиксов) является Рене Госинни.', 'Персонаж комиксов Астерикс был создан Рене Госинни.']",Астерикс был создан Рене Госинни.,Id512,0.8991617759068807,0.6762640674908956,1.0,
8,109,109,RU,Gemma,4.0,,Airport,"Элефтериос Венизелос (аэропорт) имеет cityServed Афины. Афины имеет country Греция. Греция имеет leader Ципрас, Алексис. Греция имеет language Греческий язык. Греция имеет leader Павлопулос, Прокопис. ","['Аэропорт Элефтериос Венизелос обслуживает город Афины, в Греции, где говорят на греческом. Двое из лидеров - Алексис Ципрас и Прокопис Павлопулос.', 'Элефтериос Венизелос обслуживает город Афины, Греция, где разговорный язык - греческий. Двумя лидерами Греции являются Алексис Ципрас и Прокопис Павлопулос.', 'Аэропорт Элефтериос Венизелос расположен в Афинах, Греции, где есть и Алексис Ципрас, и Прокопис Павлопулос в качестве лидеров. Язык, о котором идет речь, - греческий.']","Элефтериос Венизелос в Афинах, столице Греции, где премьер-министром является Ципрас, Алексис, а также Прокопис Павлопулос, и официальным языком является греческий.",Id110,0.8152289191881815,0.4626295963923136,0.6586518310621854,
9,11,11,RU,Gemma,4.0,,Airport,Схипхол имеет cityServed Амстердам. ,"['Схипхол обслуживает город Амстердам.', 'Аэропорт Схипхол обслуживает Амстердам.']",В аэропорту Схипхол обслуживается город Амстердам.,Id12,0.9195660650730132,0.7317961156368256,0.7827404271053202,
