,index,Unnamed: 0,Language,Model,BeamSearch,Temperature,Category,Input String,Original,Generated,TextID,BERTScore F1,chrF++,Sentence BLEU,Corpus BLEU
0,1564,1564,EN,Llama3,4.0,,Scientist,Lady Anne Monson has birthPlace Darlington. Lady Anne Monson has birthDate 1726-01-01. Lady Anne Monson has birthPlace Kingdom of England. ,"['Lady Anne Monson was born on January 1, 1726 in Darlington, the Kingdom of England.', 'Lady Anne Monson was born in Darlington, Kingdom of England, on January 1st, 1726.', 'Lady Anne Monson was born on January 1st, 1726 in Darlington, England.']",Lady Anne Monson was born in Darlington in 1726.,Id1565,0.7802749673525492,0.5246303081512451,0.5899468878192172,
1,1128,1128,EN,Llama3,4.0,,CelestialBody,1147 Stavropolis has apoapsis 418476000000.0. 1147 Stavropolis has orbitalPeriod 1249.6. 1147 Stavropolis has discoverer Grigory Neujmin. ,"['The apoapsis of 1147 Stavropolis is 418476000000.0. Its orbital period of is 1249.6 days, and it was discovered by Grigory Neujmin.', '1147 Stavropolis was discovered by Grigory Neujmin. Its apoapsis is 418476000000.0 and the orbital period of the asteroid is 1249.6 days.', '1147 Stavropolis, discovered by Grigory Neujmin, has an apoapsis of 418476000000.0 AU and an orbital period of 1249.6.']","The asteroid 1147 Stavropolis has an apoapsis of 418,476,000,000 kilometers. Its orbital period is 1,249.6 days. It was discovered by Grigory Neujmin.",Id1129,0.7606343428293864,0.6449437141418457,0.8162227684479807,
2,1558,1558,EN,Llama3,4.0,,Film,Death on a Factory Farm has director Tom Simon. Death on a Factory Farm has producer Tom Simon. Death on a Factory Farm has broadcastedBy HBO. Death on a Factory Farm has editor Geof Bartz. Death on a Factory Farm has runtime 83.0. ,"['Tom Simon directed and produced the 83 minute movie Death on a Factory Farm which was edited by Geof Bartz and broadcasted by HBO.', 'Tom Simon directed and produced the 83 minute movie Death on a Factory Farm which was released by HBO and had Geof Bartz as the editor.', 'The HBO film Death on a Factory Farm was produced and directed by Tom Simon. The film, which runs 83 minutes, was edited by Geof Bartz.']","The documentary ""Death on a Factory Farm"" is directed by Tom Simon. The documentary ""Death on a Factory Farm"" is produced by Tom Simon. The documentary ""Death on a Factory Farm"" was broadcast on HBO. The documentary ""Death on a Factory Farm"" is edited by Geof Bartz. The documentary ""Death on a Factory Farm"" has a runtime of 83 minutes.",Id1559,0.7132046222686768,0.4499491949876149,0.3520532025316985,
3,502,502,EN,Llama3,4.0,,University,Acharya Institute of Technology has affiliation Visvesvaraya Technological University. Acharya Institute of Technology has city Bangalore. Acharya Institute of Technology has established 2000. ,"['Established in 2000 The Acharya Institute of Technology is located in Bangalore and is affiliated with Visvesvaraya Technological University.', 'The Acharya Institute of Technology, affiliated with the Visvesvaraya Technological University and established in 2000, is located in Bangalore.', 'The Acharya Institute of Technology is located in the city of Bangalore since it was established in 2000, and is affiliated with the Visvesvaraya Technological University.']",Acharya Institute of Technology is affiliated with Visvesvaraya Technological University. It is located in Bangalore. It was established in 2000.,Id503,0.8742185831069946,0.7945728898048401,0.9403716648110076,
4,445,445,EN,Llama3,4.0,,MusicalWork,Mermaid (Train song) has musicalBand Train (band). Train (band) has recordLabel Warner Music Group. Mermaid (Train song) has recordLabel Columbia Records. ,"[""Columbia Records released Train's song titled, Mermaid, not the Warner Music Group, the groups record label."", 'The song Mermaid was written by the band Train, record labelled by Warner Music Group, which is on Columbia Records.', 'Mermaid by Train, whose record label is Warner Music Group, was released by Columbia Records.', 'The record label Columbia Records released the song Mermaid by the musical band Train. The band Train were signed to the record label Warner Music Group.', ""Warner Music Group is Train's record label, but their song Mermaid was released by Columbia Records.""]","The song ""Mermaid"" is by the band Train. Train is signed to Warner Music Group. The song ""Mermaid"" is also released on Columbia Records.",Id446,0.6927950263023377,0.4886275053024292,0.6704644242427176,
5,906,906,EN,Llama3,4.0,,MusicalWork,Turn Me On (album) has producer The Honeymoon Killers (American band). ,"['The Honeymoon Killers is the producer of the Turn Me On album.', 'The Honeymoon Killers are the producers of the album Turn Me On.', 'The American band, the Honeymoon Killers, self-produced its album called Turn Me On.']",The Honeymoon Killers produced the album Turn Me On.,Id907,0.8243282636006674,0.6008602976799011,0.7994729003556853,
6,1577,1577,EN,Llama3,4.0,,Scientist,Istanbul has populationMetroDensity 2691.0. ,"['The population density in metropolitan Istanbul is 2691.0.', 'The population density of the Istanbul metro area is 2691 people per square kilometer.', 'The population density in metro Istanbul is 2691.0.']","Istanbul has a population of 2,691,000 per square kilometer.",Id1578,0.6252250671386719,0.361182947953542,0.7569226616619135,
7,970,970,EN,Llama3,4.0,,Airport,Adolfo Suárez Madrid–Barajas Airport has operatingOrganisation ENAIRE. Adolfo Suárez Madrid–Barajas Airport has runwayLength 3500.0. Adolfo Suárez Madrid–Barajas Airport has elevationAboveTheSeaLevel 610.0. Adolfo Suárez Madrid–Barajas Airport has location San Sebastián de los Reyes. ,"['Adolfo Suárez Madrid–Barajas Airport is elevated 610 metres above sea level and is operated by ENAIRE. The airport is located at San Sebastian de los Reyes. The runway length at Adolfo Suarez Madrid-Barajas airport is 3500.0.', 'The Adolfo Suárez Madrid–Barajas Airport in San Sebastián de los Reyes , operated by ENAIRE has an elevation of 610.0 metres above sea level and has runway length of 3,500.', 'The Adolfo Suárez Madrid–Barajas Airport is in San Sebastián de los Reyes and is operated by ENAIRE. The airport has a runway length of 3500 and is 610.0 metres above sea level.']",Adolfo Suárez Madrid–Barajas Airport is operated by ENAIRE. Adolfo Suárez Madrid–Barajas Airport has a runway that is 3500 meters long. Adolfo Suárez Madrid–Barajas Airport is situated at an elevation of 610 meters above sea level. Adolfo Suárez Madrid–Barajas Airport is located in San Sebastián de los Reyes.,Id971,0.8066813747088114,0.6138785680135092,0.6660560974194918,
8,848,848,EN,Llama3,4.0,,Film,Its Great to Be Young (1956 film) has starring John Mills. Its Great to Be Young (1956 film) has cinematography Gilbert Taylor. Its Great to Be Young (1956 film) has runtime 94.0. Its Great to Be Young (1956 film) has gross 282838.0. Its Great to Be Young (1956 film) has director Cyril Frankel. ,"[""Cyril Frankel directed the 1956 film It's Great to Be Young which runs 94 minutes and costed £282,838. The movie is starring John Mills and in Gilbert Taylor's cinematography."", 'The director of the movie ""It\'s Great to Be Young"" was Cyril Frankel, and the cinematographer was Gilbert Taylor. John Mills had a main role in the film. The length of the movie is 94 minutes and it has taken in 282,838 pounds at the box office.', ""Released in 1956, the movie It's Great to Be Young featured John Mills in the lead and Cyril Frankel as the director. Gilbert Taylor was the cinematographer for the 94-minute film, which received £282,838.""]","The 1956 film ""It's Great to Be Young"" stars John Mills. The 1956 film ""It's Great to Be Young"" was cinematographed by Gilbert Taylor. The 1956 film ""It's Great to Be Young"" has a runtime of 94 minutes. The 1956 film ""It's Great to Be Young"" grossed 282,838 dollars. The 1956 film ""It's Great to Be Young"" was directed by Cyril Frankel.",Id849,0.6729365388552347,0.4313813050587972,0.4985990488645049,
9,1473,1473,EN,Llama3,4.0,,Airport,Bedford Aerodrome has cityServed Bedford Autodrome. Bedford Aerodrome has location Thurleigh. ,"['The place served by the Bedford Aerodrome located in Thurleigh is the Bedford Autodrome.', 'The Bedford Aerodrome, in Thurleigh, serves the Bedford Autodrome.', 'Bedford Aerodrome serves the Bedford Autodrome and is located at Thurleigh.']",Bedford Aerodrome is located in Thurleigh and serves Bedford.,Id1474,0.789515753587087,0.5307965278625488,0.8567617997575551,
